datetime,version,index_family,provider,stock_code,direction,snapshot_label,last,bid,ask,spread_pct,inav,data_age_ms,cost_model_version
2026-09-14 09:30:01.121,v2.1,KOSPI200,KODEX,069500,LONG,MORNING_END,105595.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSPI200,TIGER,102110,LONG,MORNING_END,105880.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSPI200,ACE,105190,LONG,MORNING_END,105800.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSPI200,KODEX,114800,INVERSE,MORNING_END,1039.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSDAQ150,KODEX,229200,LONG,MORNING_END,13440.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSDAQ150,TIGER,232080,LONG,MORNING_END,13700.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSDAQ150,ACE,354500,LONG,MORNING_END,13585.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 09:30:01.121,v2.1,KOSDAQ150,KODEX,251340,INVERSE,MORNING_END,2515.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSPI200,KODEX,069500,LONG,14:30,105535.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSPI200,TIGER,102110,LONG,14:30,105785.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSPI200,ACE,105190,LONG,14:30,105725.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSPI200,KODEX,114800,INVERSE,14:30,1038.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSDAQ150,KODEX,229200,LONG,14:30,13605.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSDAQ150,TIGER,232080,LONG,14:30,13850.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSDAQ150,ACE,354500,LONG,14:30,13735.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:30:02.852,v2.1,KOSDAQ150,KODEX,251340,INVERSE,14:30,2490.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSPI200,KODEX,069500,LONG,14:50,105255.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSPI200,TIGER,102110,LONG,14:50,105515.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSPI200,ACE,105190,LONG,14:50,105500.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSPI200,KODEX,114800,INVERSE,14:50,1042.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSDAQ150,KODEX,229200,LONG,14:50,13560.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSDAQ150,TIGER,232080,LONG,14:50,13815.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSDAQ150,ACE,354500,LONG,14:50,13735.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 14:50:07.475,v2.1,KOSDAQ150,KODEX,251340,INVERSE,14:50,2500.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSPI200,KODEX,069500,LONG,15:00,105405.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSPI200,TIGER,102110,LONG,15:00,105660.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSPI200,ACE,105190,LONG,15:00,105675.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSPI200,KODEX,114800,INVERSE,15:00,1039.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSDAQ150,KODEX,229200,LONG,15:00,13620.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSDAQ150,TIGER,232080,LONG,15:00,13870.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSDAQ150,ACE,354500,LONG,15:00,13740.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-14 15:00:19.950,v2.1,KOSDAQ150,KODEX,251340,INVERSE,15:00,2490.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
