datetime,version,session,scan_session,decision_session,decision_time,session_valid_at_decision,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,focus_signal,watch_score,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,history_available_sec,history_sample_count,price_30s_positive,price_60s_positive,first75_price_30s_positive,had_prior_shadow_70_74,prior_shadow_trade_id,prior_shadow_time,prior_shadow_price,prior_shadow_score,prior_shadow_to_first75_sec,prior_shadow_to_first75_pct,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec
2026-09-14 09:18:22,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:18:22.629,True,KOSDAQ,203650,드림시큐리티,3055.0,16.79,13573368,38840000000.0,41466639240.0,38840000000.0,ACTUAL,7,3105.0,1.610305958132045,1.1751891074130105,1.164766731601102,76,29,19,16,12,False,60,2026-09-14 09:16:14.045,3015.0,63.0,128.584114,20260914_203650_E001,2026-09-14 09:16:14.045,3015.0,63.0,128.584114,592.8644649982452,39,-0.3262642740619902,1.3266998341625207,False,False,,,,,,,0.16393442622950818,15.666478633880615,-0.3262642740619902,30.838438987731934,1.3266998341625207,61.39012908935547,1.3266998341625207,122.80993008613586,1.3266998341625207,184.56987619400024,3.7351443123938877,293.95471143722534,0.8012444694589058,30.838438987731934,1.610305958132045,61.39012908935547,1.610305958132045,122.80993008613586,,,,
2026-09-14 09:18:38,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:18:38.079,True,KOSDAQ,203650,드림시큐리티,3055.0,17.37,13878269,39674000000.0,42398111795.0,39674000000.0,ACTUAL,7,3105.0,1.610305958132045,1.2004236006051436,1.1909310956139179,76,29,19,16,12,False,60,2026-09-14 09:16:14.045,3015.0,63.0,144.033954,20260914_203650_E001,2026-09-14 09:16:14.045,3015.0,63.0,144.033954,592.6249408721924,39,0.16393442622950818,-0.3262642740619902,False,False,,,,,,,0.0,15.444408178329468,0.16393442622950818,31.110886812210083,-0.3262642740619902,61.29729866981506,1.3266998341625207,122.97913885116577,1.3266998341625207,184.96641492843628,3.9115646258503403,294.0240213871002,-0.16103059581320456,31.110886812210083,1.1232929711190578,61.29729866981506,1.610305958132045,122.97913885116577,,,,
2026-09-14 09:19:39,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:19:39.867,True,KOSDAQ,356680,엑스게이트,18280.0,13.64,8136564,143870000000.0,148736389920.0,143870000000.0,ACTUAL,1,18610.0,1.7732401934443847,1.061277782285727,1.06068853155271,79,40,19,11,9,False,60,2026-09-14 09:16:14.045,18290.0,74.0,205.822729,20260914_356680_E001,2026-09-14 09:16:14.045,18290.0,74.0,205.822729,590.7870197296143,39,-0.921409214092141,-0.921409214092141,False,False,,,,,,,-0.21834061135371177,15.053243637084961,-0.921409214092141,30.523207426071167,-0.921409214092141,60.9413537979126,-0.921409214092141,122.23865246772766,0.21929824561403508,183.92049264907837,0.7717750826901874,292.6716024875641,1.7732401934443847,30.523207426071167,1.7732401934443847,60.9413537979126,1.7732401934443847,122.23865246772766,1.011542696164733,183.92049264907837,,
2026-09-14 09:19:56,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:19:56.170,True,KOSDAQ,356680,엑스게이트,18280.0,13.51,8228868,145455000000.0,150423707040.0,145455000000.0,ACTUAL,1,18610.0,1.7732401934443847,1.072969763135959,1.0727213496091328,79,40,19,11,9,False,60,2026-09-14 09:16:14.045,18290.0,74.0,222.125395,20260914_356680_E001,2026-09-14 09:16:14.045,18290.0,74.0,222.125395,590.6629133224487,39,-0.21834061135371177,-0.921409214092141,False,False,,,,,,,0.0,15.65542221069336,-0.21834061135371177,30.70866584777832,-0.921409214092141,61.272515535354614,-0.921409214092141,122.87962317466736,0.10952902519167579,184.42285680770874,0.7162534435261708,292.461190700531,0.21493820526598584,30.70866584777832,1.7732401934443847,61.272515535354614,1.7732401934443847,122.87962317466736,1.1203566243475402,184.42285680770874,,
2026-09-14 09:33:07,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:33:07.844,True,KOSDAQ,069540,빛과전자,4065.0,5.43,8235116,32767000000.0,33475746540.0,32767000000.0,ACTUAL,11,4120.0,1.3349514563106795,1.2102755411095516,1.2109093529115085,76,29,19,16,12,False,60,2026-09-14 09:25:15.168,4080.0,69.0,472.675787,20260914_069540_E002,2026-09-14 09:32:58.441,4065.0,76.0,9.402566,586.5781004428864,39,0.2466091245376079,0.6935843448105028,True,False,,,,,,,0.2466091245376079,15.017762660980225,0.2466091245376079,30.28313708305359,0.6935843448105028,60.91785931587219,1.7521902377972465,122.44593501091003,1.3715710723192018,184.81806778907776,0.6188118811881188,293.5144715309143,,,,,,,,,,
2026-09-14 09:33:23,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:33:23.358,True,KOSPI,017900,광전자,9030.0,14.3,3077216,26246000000.0,27787260480.0,26246000000.0,ACTUAL,62,9100.0,0.7692307692307693,1.3053814781657216,1.2852633205665287,78,24,22,20,12,False,60,2026-09-14 09:33:13.889,9030.0,78.0,9.469341,20260914_017900_E001,2026-09-14 09:33:13.889,9030.0,78.0,9.469341,586.9900262355804,39,0.33333333333333337,0.78125,True,False,,,,,,,0.0,15.447513341903687,0.33333333333333337,30.46527600288391,0.78125,61.13297414779663,4.513888888888888,122.4742980003357,6.36042402826855,184.96259093284607,5.861664712778429,293.3037066459656,0.7692307692307693,30.46527600288391,0.7692307692307693,61.13297414779663,,,,,,
2026-09-14 09:37:46,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:37:46.841,True,KOSPI,017900,광전자,9340.0,18.23,4835454,42411000000.0,45163140360.0,42411000000.0,ACTUAL,43,9370.0,0.32017075773745995,1.1636029411764706,1.1568212913602534,82,29,25,16,12,False,60,2026-09-14 09:33:13.889,9030.0,78.0,272.951955,20260914_017900_E001,2026-09-14 09:33:13.889,9030.0,78.0,272.951955,587.9388208389282,39,0.7551240560949299,2.9768467475192946,True,False,,,,,,,-0.2136752136752137,15.969970703125,0.7551240560949299,31.46817708015442,2.9768467475192946,62.6039297580719,3.2044198895027622,124.68450140953064,2.6373626373626373,186.4790554046631,3.7777777777777777,294.25546884536743,0.2124121370478048,31.46817708015442,-0.5541461821532504,62.6039297580719,-0.7727254171259281,124.68450140953064,0.32017075773745995,186.4790554046631,0.32017075773745995,294.25546884536743
2026-09-14 09:38:01,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:38:01.858,True,KOSPI,017900,광전자,9340.0,17.97,4962484,43660000000.0,46349600560.0,43660000000.0,ACTUAL,42,9370.0,0.32017075773745995,1.163057087295879,1.1481836081656074,79,29,25,16,9,False,60,2026-09-14 09:33:13.889,9030.0,78.0,287.969035,20260914_017900_E001,2026-09-14 09:33:13.889,9030.0,78.0,287.969035,587.9395396709442,39,-0.2136752136752137,1.5217391304347827,True,False,,,,,,,0.0,15.1873619556427,-0.2136752136752137,31.1573326587677,1.5217391304347827,62.5566942691803,2.8634361233480177,124.61099767684937,3.433001107419712,186.62195420265198,3.433001107419712,294.4250681400299,0.32017075773745995,31.1573326587677,0.32017075773745995,62.5566942691803,-0.4448565646669116,124.61099767684937,-0.4490600114933093,186.62195420265198,-0.4490600114933093,294.4250681400299
2026-09-14 09:42:09,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:42:09.367,True,KOSDAQ,012210,삼미금속,13230.0,7.4,2213772,27992000000.0,29288203560.0,27992000000.0,ACTUAL,16,13230.0,0.0,1.2849798016893133,1.2260276931358638,77,24,25,16,12,False,60,2026-09-14 09:41:59.213,13230.0,77.0,10.154611,20260914_012210_E001,2026-09-14 09:41:59.213,13230.0,77.0,10.154611,432.9679596424103,26,2.004626060138782,1.9260400616332818,True,False,,,,,,,1.8475750577367205,15.60085940361023,2.004626060138782,31.17878222465515,1.9260400616332818,62.106895208358765,5.924739791833467,122.86741995811462,6.350482315112541,184.46596264839172,4.667721518987341,293.0015444755554,-1.3688212927756656,31.17878222465515,-0.8403361344537815,62.106895208358765,,,,,,
2026-09-14 09:42:25,v2.1,MAIN,MAIN,MAIN,2026-09-14 09:42:25.421,True,KOSDAQ,012210,삼미금속,13230.0,7.65,2213772,27992000000.0,29288203560.0,27992000000.0,ACTUAL,16,13230.0,0.0,1.1900854555503593,1.1513445958983155,77,24,25,16,12,False,60,2026-09-14 09:41:59.213,13230.0,77.0,26.208115,20260914_012210_E001,2026-09-14 09:41:59.213,13230.0,77.0,26.208115,449.0287437438965,27,1.8475750577367205,1.3016845329249618,True,False,,,,,,,0.0,16.060784101486206,1.8475750577367205,31.661643505096436,1.3016845329249618,62.482666015625,4.009433962264151,123.89524817466736,6.350482315112541,200.52674674987793,5.755395683453238,293.5641222000122,-1.2167300380228137,31.661643505096436,-0.6844106463878328,62.482666015625,,,,,,
