datetime,version,index_family,entry_time_variant,decision,reason,direction,rule_version
2026-09-23 14:30:13.850,v2.3.0,KOSPI200,14:30,ENTER,PASS,LONG,v20_initial_20260914
2026-09-23 14:30:13.850,v2.3.0,KOSDAQ150,14:30,ENTER,PASS,LONG,v20_initial_20260914
2026-09-23 14:50:14.502,v2.3.0,KOSPI200,14:50,ENTER,PASS,LONG,v20_initial_20260914
2026-09-23 14:50:14.502,v2.3.0,KOSDAQ150,14:50,ENTER,PASS,LONG,v20_initial_20260914
2026-09-23 15:00:14.757,v2.3.0,KOSPI200,15:00,ENTER,PASS,LONG,v20_initial_20260914
2026-09-23 15:00:14.757,v2.3.0,KOSDAQ150,15:00,ENTER,PASS,LONG,v20_initial_20260914
