version,stock_code,stock_name,strategy,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,signal_time,signal_price,live_order_time,live_fill_time,live_fill_price,live_entry_delay_sec,live_vs_signal_pct,entry_time,live_exit_order_time,live_exit_fill_time,exit_time,qty,actual_invested_amount,entry_price,live_exit_fill_price,exit_price,live_gross_return_pct,return_rate_gross,live_realized_pnl,pnl_gross_won,result,paper_T200_S150_result,paper_T200_S150_return_pct,entry_order_no,exit_order_no,score
v1.6.6,032820,우리기술,T200_S150,20260828_032820_PRE_HISTORY_E001_090941750176,PRE_HISTORY,FIRST_75_PASS,20260828_032820_E001,2026-08-28 09:09:41.668,13810.0,2026-08-28 09:09:41.753,2026-08-28 09:09:42.280,13830.0,0.612407,0.14482259232440065,2026-08-28 09:09:42.280,2026-08-28 09:10:29.262,2026-08-28 09:10:30.879,2026-08-28 09:10:30.879,71,981930.0,13830.0,13617.57,13617.57,-1.536,-1.536,-15082.0,-15082.0,STOP_LOSS,STOP_LOSS,-1.5467,0123395,0126255,77
v1.6.6,0155E0,해치텍,T200_S150,20260828_0155E0_PRE_HISTORY_E001_091304834004,PRE_HISTORY,FIRST_75_PASS,20260828_0155E0_E001,2026-08-28 09:13:04.781,18750.0,2026-08-28 09:13:04.839,2026-08-28 09:13:05.593,18720.0,0.8122,-0.16000000000000458,2026-08-28 09:13:05.593,2026-08-28 09:15:27.063,2026-08-28 09:15:28.678,2026-08-28 09:15:28.678,52,973440.0,18720.0,19080.0,19080.0,1.9231,1.9231,18720.0,18720.0,TAKE_PROFIT,OPEN,,0135681,0143556,77
v1.6.6,222800,심텍,T200_S150,20260828_222800_PRE_HISTORY_E004_091059864471,PRE_HISTORY,FIRST_75_PASS,20260828_222800_E004,2026-08-28 09:10:59.834,134600.0,2026-08-28 09:10:59.869,2026-08-28 09:11:01.386,134700.0,1.552122,0.07429420505200568,2026-08-28 09:11:01.386,2026-08-28 09:17:47.072,2026-08-28 09:17:49.484,2026-08-28 09:17:49.484,7,942900.0,134700.0,132800.0,132800.0,-1.4105,-1.4105,-13300.0,-13300.0,STOP_LOSS,STOP_LOSS,-1.5101,0128088,0151628,82
