date,version,stock_code,stock_name,minute,open,high,low,close,volume,tick_count,current_state,running_high,pullback_pct,raw_pullback_low,base_duration,base_high,base_low,base_range_pct,support_retest_count,minute_aggregation_delay_ms,candidate_source,candidate_start_time,base_signal_time,first75_signal_time,parent_trade_ids,support_episode_id,peak_time,peak_price,pullback_start_time,pullback_depth_pct,support_low_time,support_low_price,support_anchor_low,support_candidate_time,support_confirm_time,support_elapsed_min,rebound_from_low_pct,higher_low,prior_5m_high,reclaim_threshold_price,reclaim_signal_time,reclaim_volume_ratio,signal_time,signal_detected_time,signal_price,fill_time,fill_price,signal_to_fill_sec,signal_to_fill_slippage_pct,rule_version,data_status
2026-09-22,v2.2.0,222800,심텍,2026-09-22 09:01:00.000,142500.0,144500.0,141900.0,143800.0,46993.0,1964,PEAK,,,,0,,,,0,78.601,BASE,2026-09-22 09:01:09.733,2026-09-22 09:01:09.733,,20260922_222800_BASE_E001_090109740834,2026-09-22:222800:0,,,,,,,,,,0,,,,,,,2026-09-22 09:02:00.000,2026-09-22 09:02:00.078,143800.0,,,,,pullback_support_v1,DATA_UNAVAILABLE
2026-09-22,v2.2.0,066570,LG전자,2026-09-22 09:01:00.000,213500.0,214500.0,213500.0,213750.0,1047.0,40,PEAK,,,,0,,,,0,79.701,BASE,2026-09-22 09:01:56.659,2026-09-22 09:01:56.659,,20260922_066570_BASE_E001_090156667726,2026-09-22:066570:0,,,,,,,,,,0,,,,,,,2026-09-22 09:02:00.000,2026-09-22 09:02:00.079,213750.0,,,,,pullback_support_v1,DATA_UNAVAILABLE
2026-09-22,v2.2.0,007810,코리아써키트,2026-09-22 09:02:00.000,60000.0,62300.0,59900.0,61900.0,100228.0,1254,PEAK,,,,0,,,,0,78.569,BASE,2026-09-22 09:02:12.885,2026-09-22 09:02:12.885,,20260922_007810_BASE_E001_090212912607,2026-09-22:007810:0,,,,,,,,,,0,,,,,,,2026-09-22 09:03:00.000,2026-09-22 09:03:00.078,61900.0,,,,,pullback_support_v1,DATA_UNAVAILABLE
2026-09-22,v2.2.0,356860,티엘비,2026-09-22 09:02:00.000,42250.0,42700.0,42200.0,42350.0,53854.0,320,PEAK,,,,0,,,,0,79.568,BOTH,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,20260922_356860_BASE_E001_090244103978|20260922_356860_PRE_HISTORY_E001_090244408936,2026-09-22:356860:0,,,,,,,,,,0,,,,,,,2026-09-22 09:03:00.000,2026-09-22 09:03:00.079,42350.0,,,,,pullback_support_v1,DATA_UNAVAILABLE
2026-09-22,v2.2.0,222800,심텍,2026-09-22 09:02:00.000,143800.0,145000.0,142900.0,144900.0,48600.0,1345,PEAK,145000.0,-1.4482758620689706,,0,,,,0,79.568,BASE,2026-09-22 09:01:09.733,2026-09-22 09:01:09.733,,20260922_222800_BASE_E001_090109740834,2026-09-22:222800:0,2026-09-22 09:02:00.000,145000.0,,,,,,,,0,,,,,,,2026-09-22 09:03:00.000,2026-09-22 09:03:00.079,144900.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,066570,LG전자,2026-09-22 09:02:00.000,214000.0,214000.0,212500.0,213000.0,19877.0,518,PEAK,214000.0,-0.7009345794392496,,0,,,,0,286.791,BASE,2026-09-22 09:01:56.659,2026-09-22 09:01:56.659,,20260922_066570_BASE_E001_090156667726,2026-09-22:066570:0,2026-09-22 09:02:00.000,214000.0,,,,,,,,0,,,,,,,2026-09-22 09:03:00.000,2026-09-22 09:03:00.286,213000.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,356860,티엘비,2026-09-22 09:03:00.000,42350.0,42850.0,42100.0,42750.0,68573.0,828,PEAK,42850.0,-1.7502917152858788,,0,,,,0,78.159,BOTH,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,20260922_356860_BASE_E001_090244103978|20260922_356860_PRE_HISTORY_E001_090244408936,2026-09-22:356860:0,2026-09-22 09:03:00.000,42850.0,,,,,,,,0,,,,,,,2026-09-22 09:04:00.000,2026-09-22 09:04:00.078,42750.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,0161M0,네오사피엔스,2026-09-22 09:03:00.000,37000.0,37900.0,36750.0,37900.0,103349.0,506,PEAK,,,,0,,,,0,78.159,BOTH,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,20260922_0161M0_BASE_E001_090345632652|20260922_0161M0_PRE_HISTORY_E001_090346013080,2026-09-22:0161M0:0,,,,,,,,,,0,,,,,,,2026-09-22 09:04:00.000,2026-09-22 09:04:00.078,37900.0,,,,,pullback_support_v1,DATA_UNAVAILABLE
2026-09-22,v2.2.0,222800,심텍,2026-09-22 09:03:00.000,144900.0,147200.0,143600.0,147100.0,66602.0,1727,PEAK,147200.0,-2.445652173913049,,0,,,,0,79.311,BASE,2026-09-22 09:01:09.733,2026-09-22 09:01:09.733,,20260922_222800_BASE_E001_090109740834,2026-09-22:222800:0,2026-09-22 09:03:00.000,147200.0,,,,,,,,0,,,,,,,2026-09-22 09:04:00.000,2026-09-22 09:04:00.079,147100.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,066570,LG전자,2026-09-22 09:03:00.000,213000.0,214000.0,212500.0,214000.0,15041.0,452,PEAK,214000.0,-0.7009345794392496,,0,,,,0,85.642,BASE,2026-09-22 09:01:56.659,2026-09-22 09:01:56.659,,20260922_066570_BASE_E001_090156667726,2026-09-22:066570:0,2026-09-22 09:02:00.000,214000.0,,,,,,,,0,,,,,,,2026-09-22 09:04:00.000,2026-09-22 09:04:00.085,214000.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,353200,대덕전자,2026-09-22 09:03:00.000,115300.0,115500.0,113900.0,114500.0,33169.0,831,PEAK,,,,0,,,,0,86.648,BOTH,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,20260922_353200_BASE_E001_090314550904|20260922_353200_PRE_HISTORY_E001_090314888674,2026-09-22:353200:0,,,,,,,,,,0,,,,,,,2026-09-22 09:04:00.000,2026-09-22 09:04:00.086,114500.0,,,,,pullback_support_v1,DATA_UNAVAILABLE
2026-09-22,v2.2.0,007810,코리아써키트,2026-09-22 09:03:00.000,61900.0,62500.0,61000.0,61700.0,79907.0,1509,PEAK,62500.0,-2.400000000000002,,0,,,,0,191.965,BASE,2026-09-22 09:02:12.885,2026-09-22 09:02:12.885,,20260922_007810_BASE_E001_090212912607,2026-09-22:007810:0,2026-09-22 09:03:00.000,62500.0,,,,,,,,0,,,,,,,2026-09-22 09:04:00.000,2026-09-22 09:04:00.191,61700.0,,,,,pullback_support_v1,OK
