datetime,version,index_family,provider,stock_code,direction,snapshot_label,last,bid,ask,spread_pct,inav,data_age_ms,cost_model_version
2026-09-22 09:00:08.336,v2.2.0,KOSPI200,KODEX,069500,LONG,OPEN,111700.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSPI200,TIGER,102110,LONG,OPEN,111945.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSPI200,ACE,105190,LONG,OPEN,114505.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSPI200,KODEX,114800,INVERSE,OPEN,957.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSDAQ150,KODEX,229200,LONG,OPEN,14045.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSDAQ150,TIGER,232080,LONG,OPEN,14315.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSDAQ150,ACE,354500,LONG,OPEN,14370.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:00:08.336,v2.2.0,KOSDAQ150,KODEX,251340,INVERSE,OPEN,2400.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSPI200,KODEX,069500,LONG,MORNING_END,114195.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSPI200,TIGER,102110,LONG,MORNING_END,114480.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSPI200,ACE,105190,LONG,MORNING_END,114465.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSPI200,KODEX,114800,INVERSE,MORNING_END,958.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSDAQ150,KODEX,229200,LONG,MORNING_END,14120.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSDAQ150,TIGER,232080,LONG,MORNING_END,14385.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSDAQ150,ACE,354500,LONG,MORNING_END,14260.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 09:30:08.128,v2.2.0,KOSDAQ150,KODEX,251340,INVERSE,MORNING_END,2395.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSPI200,KODEX,069500,LONG,14:30,111690.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSPI200,TIGER,102110,LONG,14:30,112015.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSPI200,ACE,105190,LONG,14:30,111995.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSPI200,KODEX,114800,INVERSE,14:30,979.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSDAQ150,KODEX,229200,LONG,14:30,13920.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSDAQ150,TIGER,232080,LONG,14:30,14175.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSDAQ150,ACE,354500,LONG,14:30,14050.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:30:15.236,v2.2.0,KOSDAQ150,KODEX,251340,INVERSE,14:30,2425.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSPI200,KODEX,069500,LONG,14:50,112125.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSPI200,TIGER,102110,LONG,14:50,112395.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSPI200,ACE,105190,LONG,14:50,112370.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSPI200,KODEX,114800,INVERSE,14:50,975.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSDAQ150,KODEX,229200,LONG,14:50,13980.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSDAQ150,TIGER,232080,LONG,14:50,14235.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSDAQ150,ACE,354500,LONG,14:50,14130.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 14:50:14.197,v2.2.0,KOSDAQ150,KODEX,251340,INVERSE,14:50,2415.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSPI200,KODEX,069500,LONG,15:00,112285.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSPI200,TIGER,102110,LONG,15:00,112575.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSPI200,ACE,105190,LONG,15:00,112520.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSPI200,KODEX,114800,INVERSE,15:00,974.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSDAQ150,KODEX,229200,LONG,15:00,13980.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSDAQ150,TIGER,232080,LONG,15:00,14235.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSDAQ150,ACE,354500,LONG,15:00,14125.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:00:09.831,v2.2.0,KOSDAQ150,KODEX,251340,INVERSE,15:00,2415.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSPI200,KODEX,069500,LONG,TIME_EXIT,111950.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSPI200,TIGER,102110,LONG,TIME_EXIT,112215.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSPI200,ACE,105190,LONG,TIME_EXIT,112220.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSPI200,KODEX,114800,INVERSE,TIME_EXIT,977.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSDAQ150,KODEX,229200,LONG,TIME_EXIT,13925.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSDAQ150,TIGER,232080,LONG,TIME_EXIT,14185.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSDAQ150,ACE,354500,LONG,TIME_EXIT,14075.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
2026-09-22 15:20:18.463,v2.2.0,KOSDAQ150,KODEX,251340,INVERSE,TIME_EXIT,2425.0,0.0,0.0,,0.0,0,v20_unconfirmed_1
