datetime,version,candidate_count,open_strategy_count,tick_queue_backlog,writer_queue_backlog,pending_notifications,unknown_notifications,halted,ticks,gaps,bars,invalid_bars,save_failures
2026-09-22 07:22:05.212,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:23:05.243,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:24:05.300,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:25:05.356,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:26:05.403,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:27:05.470,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:28:05.524,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:29:05.562,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:30:05.642,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:31:05.683,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:32:05.829,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:33:06.311,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:34:06.353,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:35:06.403,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:36:06.446,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:37:06.482,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:38:06.538,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:39:06.585,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:40:06.627,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:41:06.682,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:42:06.726,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:43:06.762,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:44:06.839,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:45:06.885,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:46:06.946,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:47:07.003,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:48:07.045,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:49:07.091,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:50:07.137,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:51:07.175,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:52:07.205,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:53:07.258,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:54:07.307,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:55:07.359,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:56:07.414,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:57:07.459,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:58:07.511,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 07:59:07.570,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:00:08.512,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:01:09.434,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:02:12.143,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:03:15.326,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:04:17.608,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:05:18.281,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:06:18.822,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:07:19.086,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:08:19.171,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:09:19.952,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:10:20.413,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:11:20.413,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:12:21.071,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:13:21.846,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:14:22.479,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:15:22.858,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
2026-09-22 08:16:22.862,v2.2.0,0,0,0,0,0,0,False,0,0,0,0,0
