date,version,event_id,event,strategy,trade_id,stock_code,stock_name,candidate_source,candidate_start_time,base_signal_time,first75_signal_time,parent_trade_ids,support_episode_id,peak_time,peak_price,pullback_start_time,pullback_depth_pct,support_low_time,support_low_price,support_anchor_low,support_candidate_time,support_confirm_time,support_elapsed_min,rebound_from_low_pct,higher_low,prior_5m_high,reclaim_threshold_price,reclaim_signal_time,reclaim_volume_ratio,signal_time,signal_detected_time,signal_price,fill_time,fill_price,signal_to_fill_sec,signal_to_fill_slippage_pct,rule_version,data_status
2026-09-22,v2.2.0,2026-09-22:000500:PULLBACK_RECLAIM_ENTRY:2026-09-22:000500:1:2026-09-22 09:23:00:SIGNAL,SIGNAL,PULLBACK_RECLAIM_ENTRY,,000500,가온전선,BOTH,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,20260922_000500_BASE_E001_090656400654|20260922_000500_PRE_HISTORY_E001_090656976126|20260922_000500_BASE_E003_092228245202,2026-09-22:000500:1,2026-09-22 09:07:00.000,342000.0,2026-09-22 09:08:00.000,-4.824561403508776,2026-09-22 09:14:00.000,325500.0,325500.0,2026-09-22 09:18:00.000,2026-09-22 09:20:00.000,8,2.9185867895545226,True,333500.0,333833.49999999994,2026-09-22 09:23:00.000,2.63974570284907,2026-09-22 09:23:00.000,2026-09-22 09:23:00.252,335000.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:000500:PULLBACK_RECLAIM_ENTRY:2026-09-22:000500:1:2026-09-22 09:23:00:FILL,FILL,PULLBACK_RECLAIM_ENTRY,20260922_000500_PULLBACK_RECLAIM_ENTRY_2026-09-22:000500:1_092300779404,000500,가온전선,BOTH,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,20260922_000500_BASE_E001_090656400654|20260922_000500_PRE_HISTORY_E001_090656976126|20260922_000500_BASE_E003_092228245202,2026-09-22:000500:1,2026-09-22 09:07:00.000,342000.0,2026-09-22 09:08:00.000,-4.824561403508776,2026-09-22 09:14:00.000,325500.0,325500.0,2026-09-22 09:18:00.000,2026-09-22 09:20:00.000,8,2.9185867895545226,True,333500.0,333833.49999999994,2026-09-22 09:23:00.000,2.63974570284907,2026-09-22 09:23:00.000,2026-09-22 09:23:00.252,335000.0,2026-09-22 09:23:00.443,335000.0,0.443829,0.0,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:356860:PULLBACK_SUPPORT_ENTRY:2026-09-22:356860:2:2026-09-22 09:26:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,356860,티엘비,BOTH,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,20260922_356860_BASE_E001_090244103978|20260922_356860_PRE_HISTORY_E001_090244408936,2026-09-22:356860:2,2026-09-22 09:11:00.000,44900.0,2026-09-22 09:12:00.000,-4.677060133630285,2026-09-22 09:23:00.000,42800.0,42850.0,2026-09-22 09:24:00.000,2026-09-22 09:26:00.000,5,2.219626168224309,True,,,,,2026-09-22 09:26:00.000,2026-09-22 09:26:01.140,43750.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:043260:PULLBACK_SUPPORT_ENTRY:2026-09-22:043260:2:2026-09-22 09:26:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,043260,성호전자,BASE,2026-09-22 09:06:26.470,2026-09-22 09:06:26.470,,20260922_043260_BASE_E001_090627766476|20260922_043260_BASE_E002_091638601545,2026-09-22:043260:2,2026-09-22 09:16:00.000,28400.0,2026-09-22 09:17:00.000,-4.049295774647888,2026-09-22 09:20:00.000,27250.0,27250.0,2026-09-22 09:24:00.000,2026-09-22 09:26:00.000,5,1.4678899082568808,True,,,,,2026-09-22 09:26:00.000,2026-09-22 09:26:02.050,27650.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:356860:PULLBACK_SUPPORT_ENTRY:2026-09-22:356860:2:2026-09-22 09:26:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_356860_PULLBACK_SUPPORT_ENTRY_2026-09-22:356860:2_092603405469,356860,티엘비,BOTH,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,20260922_356860_BASE_E001_090244103978|20260922_356860_PRE_HISTORY_E001_090244408936,2026-09-22:356860:2,2026-09-22 09:11:00.000,44900.0,2026-09-22 09:12:00.000,-4.677060133630285,2026-09-22 09:23:00.000,42800.0,42850.0,2026-09-22 09:24:00.000,2026-09-22 09:26:00.000,5,2.219626168224309,True,,,,,2026-09-22 09:26:00.000,2026-09-22 09:26:01.140,43750.0,2026-09-22 09:26:01.259,43750.0,1.259497,0.0,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:043260:PULLBACK_SUPPORT_ENTRY:2026-09-22:043260:2:2026-09-22 09:26:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_043260_PULLBACK_SUPPORT_ENTRY_2026-09-22:043260:2_092609136445,043260,성호전자,BASE,2026-09-22 09:06:26.470,2026-09-22 09:06:26.470,,20260922_043260_BASE_E001_090627766476|20260922_043260_BASE_E002_091638601545,2026-09-22:043260:2,2026-09-22 09:16:00.000,28400.0,2026-09-22 09:17:00.000,-4.049295774647888,2026-09-22 09:20:00.000,27250.0,27250.0,2026-09-22 09:24:00.000,2026-09-22 09:26:00.000,5,1.4678899082568808,True,,,,,2026-09-22 09:26:00.000,2026-09-22 09:26:02.050,27650.0,2026-09-22 09:26:02.146,27650.0,2.146803,0.0,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:007660:PULLBACK_SUPPORT_ENTRY:2026-09-22:007660:1:2026-09-22 09:28:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,007660,이수페타시스,BASE,2026-09-22 09:05:23.086,2026-09-22 09:05:23.086,,20260922_007660_BASE_E001_090523130972,2026-09-22:007660:1,2026-09-22 09:09:00.000,119800.0,2026-09-22 09:12:00.000,-4.006677796327207,2026-09-22 09:22:00.000,115000.0,115000.0,2026-09-22 09:26:00.000,2026-09-22 09:28:00.000,5,1.043478260869568,True,,,,,2026-09-22 09:28:00.000,2026-09-22 09:28:01.165,116200.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:007660:PULLBACK_SUPPORT_ENTRY:2026-09-22:007660:1:2026-09-22 09:28:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_007660_PULLBACK_SUPPORT_ENTRY_2026-09-22:007660:1_092802301643,007660,이수페타시스,BASE,2026-09-22 09:05:23.086,2026-09-22 09:05:23.086,,20260922_007660_BASE_E001_090523130972,2026-09-22:007660:1,2026-09-22 09:09:00.000,119800.0,2026-09-22 09:12:00.000,-4.006677796327207,2026-09-22 09:22:00.000,115000.0,115000.0,2026-09-22 09:26:00.000,2026-09-22 09:28:00.000,5,1.043478260869568,True,,,,,2026-09-22 09:28:00.000,2026-09-22 09:28:01.165,116200.0,2026-09-22 09:28:01.338,116300.0,1.338526,0.0860585197934638,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:356860:PULLBACK_RECLAIM_ENTRY:2026-09-22:356860:2:2026-09-22 09:29:00:SIGNAL,SIGNAL,PULLBACK_RECLAIM_ENTRY,,356860,티엘비,BOTH,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,20260922_356860_BASE_E001_090244103978|20260922_356860_PRE_HISTORY_E001_090244408936,2026-09-22:356860:2,2026-09-22 09:11:00.000,44900.0,2026-09-22 09:12:00.000,-4.677060133630285,2026-09-22 09:23:00.000,42800.0,42850.0,2026-09-22 09:24:00.000,2026-09-22 09:26:00.000,8,2.8037383177569986,True,43850.0,43893.85,2026-09-22 09:29:00.000,2.1218134773315334,2026-09-22 09:29:00.000,2026-09-22 09:29:00.095,44000.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:356860:PULLBACK_RECLAIM_ENTRY:2026-09-22:356860:2:2026-09-22 09:29:00:FILL,FILL,PULLBACK_RECLAIM_ENTRY,20260922_356860_PULLBACK_RECLAIM_ENTRY_2026-09-22:356860:2_092901532386,356860,티엘비,BOTH,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,2026-09-22 09:02:44.089,20260922_356860_BASE_E001_090244103978|20260922_356860_PRE_HISTORY_E001_090244408936,2026-09-22:356860:2,2026-09-22 09:11:00.000,44900.0,2026-09-22 09:12:00.000,-4.677060133630285,2026-09-22 09:23:00.000,42800.0,42850.0,2026-09-22 09:24:00.000,2026-09-22 09:26:00.000,8,2.8037383177569986,True,43850.0,43893.85,2026-09-22 09:29:00.000,2.1218134773315334,2026-09-22 09:29:00.000,2026-09-22 09:29:00.095,44000.0,2026-09-22 09:29:00.136,44050.0,0.136906,0.11363636363637131,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:353200:PULLBACK_SUPPORT_ENTRY:2026-09-22:353200:1:2026-09-22 09:30:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,353200,대덕전자,BOTH,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,20260922_353200_BASE_E001_090314550904|20260922_353200_PRE_HISTORY_E001_090314888674,2026-09-22:353200:1,2026-09-22 09:13:00.000,118900.0,2026-09-22 09:14:00.000,-3.61648444070648,2026-09-22 09:24:00.000,114600.0,114600.0,2026-09-22 09:28:00.000,2026-09-22 09:30:00.000,5,1.8324607329842868,True,,,,,2026-09-22 09:30:00.000,2026-09-22 09:30:05.327,116700.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:353200:PULLBACK_SUPPORT_ENTRY:2026-09-22:353200:1:2026-09-22 09:30:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_353200_PULLBACK_SUPPORT_ENTRY_2026-09-22:353200:1_093009938603,353200,대덕전자,BOTH,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,20260922_353200_BASE_E001_090314550904|20260922_353200_PRE_HISTORY_E001_090314888674,2026-09-22:353200:1,2026-09-22 09:13:00.000,118900.0,2026-09-22 09:14:00.000,-3.61648444070648,2026-09-22 09:24:00.000,114600.0,114600.0,2026-09-22 09:28:00.000,2026-09-22 09:30:00.000,5,1.8324607329842868,True,,,,,2026-09-22 09:30:00.000,2026-09-22 09:30:05.327,116700.0,2026-09-22 09:30:06.278,117000.0,6.278425,0.25706940874035134,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:353200:PULLBACK_RECLAIM_ENTRY:2026-09-22:353200:1:2026-09-22 09:31:00:SIGNAL,SIGNAL,PULLBACK_RECLAIM_ENTRY,,353200,대덕전자,BOTH,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,2026-09-22 09:03:14.530,20260922_353200_BASE_E001_090314550904|20260922_353200_PRE_HISTORY_E001_090314888674,2026-09-22:353200:1,2026-09-22 09:13:00.000,118900.0,2026-09-22 09:14:00.000,-3.61648444070648,2026-09-22 09:24:00.000,114600.0,114600.0,2026-09-22 09:28:00.000,2026-09-22 09:30:00.000,6,2.3560209424083878,True,116800.0,116916.79999999999,2026-09-22 09:31:00.000,1.8559874975581168,2026-09-22 09:31:00.000,2026-09-22 09:31:00.734,117300.0,,,,,pullback_support_v1,OK
