datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth
2026-08-13 09:08:48,v1.5,MAIN,KOSPI,006800,미래에셋증권,40050.0,9.73,720580,107675000000.0,110369469600.0,107675000000.0,ACTUAL,9,40100.0,0.12468827930174563,1.071830298927921,1.1525849907067656,88,40,25,11,12
2026-08-13 09:08:48,v1.5,MAIN,KOSPI,000500,가온전선,177600.0,9.63,48765,60771000000.0,62406153600.0,60771000000.0,ACTUAL,22,178000.0,0.22471910112359553,1.068144268288396,1.300538724130574,84,33,25,11,15
2026-08-13 09:08:48,v1.5,MAIN,KOSPI,009150,삼성전기,1469000.0,9.96,106990,614219000000.0,627477516000.0,614219000000.0,ACTUAL,3,1475000.0,0.4067796610169492,1.0374234455175302,1.0815373417977436,79,40,25,5,9
2026-08-13 09:08:48,v1.5,MAIN,KOSPI,000660,SK하이닉스,1614000.0,7.18,509330,2104943000000.0,2139267468000.0,2104943000000.0,ACTUAL,1,1614000.0,0.0,1.038661457264215,1.0690193642091654,79,40,25,5,9
2026-08-13 09:08:48,v1.5,MAIN,KOSPI,005930,삼성전자,269250.0,5.48,1874569,1839451000000.0,1861143823000.0,1839451000000.0,ACTUAL,2,269500.0,0.0927643784786642,1.0372179151674676,1.063597920883029,79,40,25,5,9
2026-08-13 09:10:05,v1.5,MAIN,KOSPI,006800,미래에셋증권,40350.0,10.41,794140,113185000000.0,116469176200.0,113185000000.0,ACTUAL,10,40400.0,0.12376237623762376,1.0511725098676572,1.1020844319853451,85,40,25,11,9
2026-08-13 09:10:05,v1.5,MAIN,KOSPI,161890,한국콜마,140450.0,5.89,249072,97491000000.0,101502841000.0,97491000000.0,ACTUAL,15,140700.0,0.17768301350390903,1.062340634194181,1.0957274582952066,82,37,25,11,9
2026-08-13 09:10:09,v1.5,MAIN,KOSPI,009150,삼성전기,1478000.0,10.56,116231,638766000000.0,655444368000.0,638766000000.0,ACTUAL,3,1478000.0,0.0,1.0399645728966378,1.0863725581830077,79,40,25,5,9
2026-08-13 09:10:09,v1.5,MAIN,KOSPI,000660,SK하이닉스,1614000.0,7.18,546755,2203233000000.0,2237884792000.0,2203233000000.0,ACTUAL,1,1615000.0,0.061919504643962855,1.046694851119484,1.07347888402411,79,40,25,5,9
2026-08-13 09:10:09,v1.5,MAIN,KOSPI,010120,LS ELECTRIC,219500.0,5.52,97037,72148000000.0,73456680000.0,72148000000.0,ACTUAL,21,221000.0,0.6787330316742082,1.0721471772695526,1.138731443994602,79,37,22,11,9
2026-08-13 09:10:13,v1.5,MAIN,KOSPI,005930,삼성전자,269500.0,5.48,2047943,1909050000000.0,1928267110000.0,1909050000000.0,ACTUAL,2,270000.0,0.1851851851851852,1.0378368328376237,1.0924873931020944,79,40,25,5,9
2026-08-13 09:11:27,v1.5,MAIN,KOSPI,161890,한국콜마,142400.0,7.09,283107,105611000000.0,110223946800.0,105611000000.0,ACTUAL,14,142600.0,0.1402524544179523,1.0832897395657035,1.1366472345345924,85,40,25,11,9
2026-08-13 09:11:27,v1.5,MAIN,KOSPI,005930,삼성전자,268500.0,5.28,2229780,2007288000000.0,2025256077000.0,2007288000000.0,ACTUAL,2,270000.0,0.5555555555555556,1.0514591026950577,1.0887900688642214,82,40,22,11,9
2026-08-13 09:11:27,v1.5,MAIN,KOSPI,009150,삼성전기,1479000.0,10.79,129185,670583000000.0,688052985000.0,670583000000.0,ACTUAL,3,1482000.0,0.20242914979757085,1.0498101026040836,1.1114504736257969,79,40,25,5,9
