datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,focus_signal,watch_score,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,history_available_sec,history_sample_count,price_change_15s,price_change_30s,price_change_60s,price_change_120s,price_change_180s,price_change_300s,high_gap_change_30s,high_gap_change_60s,high_gap_change_120s,high_gap_change_180s,high_gap_change_300s
2026-08-24 09:01:23,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,36100.0,10.75,110781,58455000000.0,3999194100.0,58455000000.0,ACTUAL,1,36650.0,1.5006821282401093,1.0967990093065145,3.226568416147259,78,33,19,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,62.27403,78.15349698066711,6,0.2777777777777778,-1.095890410958904,-1.095890410958904,,,,1.0914051841746248,1.5006821282401093,,,
2026-08-24 09:01:39,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,36300.0,11.67,124277,59293000000.0,4511255100.0,59293000000.0,ACTUAL,1,36650.0,0.9549795361527967,1.0677459437071186,1.808928415475532,81,33,22,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,78.873335,94.08721399307251,7,0.554016620498615,0.8333333333333334,0.2762430939226519,,,,-0.8185538881309687,-0.13791663871059134,,,
2026-08-24 09:02:10,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,36600.0,12.29,143028,60688000000.0,5234824800.0,60688000000.0,ACTUAL,1,36650.0,0.1364256480218281,1.047301844789204,1.379473973554006,78,33,25,5,15,False,60,2026-08-24 09:00:20,36500.0,67.0,109.277381,124.93512535095215,9,0.9655172413793104,0.8264462809917356,1.6666666666666667,12.442396313364055,,,-0.8185538881309686,-1.6371077762619373,-998.8635743519782,,
2026-08-24 09:02:26,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37100.0,14.13,172667,62888000000.0,6405945700.0,62888000000.0,ACTUAL,1,37200.0,0.2688172043010753,1.0758361132495082,1.5586337007248536,84,33,25,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,125.188567,140.8376681804657,10,1.366120218579235,2.344827586206897,2.7700831024930745,1.643835616438356,,,-0.8225879798735496,-1.231864923939034,0.2688172043010753,,
2026-08-24 09:02:41,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37350.0,13.98,198773,64695000000.0,7424171550.0,64695000000.0,ACTUAL,1,37400.0,0.1336898395721925,1.0911068760224647,1.5994351328081624,84,33,25,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,141.028295,156.75190663337708,11,0.6738544474393532,2.0491803278688523,2.8925619834710745,3.1767955801104977,,,-0.0027358084496356128,-0.8212896965806042,-0.9592063352911956,,
2026-08-24 09:02:57,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37650.0,14.59,221421,65936000000.0,8336500650.0,65936000000.0,ACTUAL,1,37650.0,0.0,1.1063829787234043,1.7310416536368753,84,33,25,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,156.541926,172.59572553634644,12,0.8032128514056224,1.482479784366577,3.8620689655172415,3.1506849315068495,,,-0.2688172043010753,-1.0914051841746248,-0.4092769440654843,,
2026-08-24 09:03:13,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37700.0,15.36,246907,68137000000.0,9308393900.0,68137000000.0,ACTUAL,1,37800.0,0.26455026455026454,1.122742552069602,1.7262843639007748,84,33,25,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,172.226739,188.10594654083252,13,0.13280212483399734,0.9370816599732262,3.0054644808743167,4.722222222222222,3.287671232876712,,0.13086042497807204,0.12812461652843643,-1.5089831597335008,0.26455026455026454,
2026-08-24 09:03:29,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37900.0,17.05,279849,70750000000.0,10606277100.0,70750000000.0,ACTUAL,1,38100.0,0.5249343832020997,1.1250159012848238,1.6207439753977309,85,37,22,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,188.487594,203.78025341033936,14,0.5305039787798408,0.6640106241699867,2.15633423180593,4.986149584487535,4.696132596685083,,0.5249343832020997,0.2561171789010244,-0.9757477450380095,-0.5679617916612884,
2026-08-24 09:03:44,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38050.0,16.44,302416,72454000000.0,11506928800.0,72454000000.0,ACTUAL,1,38200.0,0.3926701570680628,1.1199319885617127,1.5214138741177121,88,37,25,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,203.390026,219.0449571609497,15,0.395778364116095,0.9283819628647214,1.8741633199464525,4.820936639118457,5.110497237569061,,0.12811989251779826,0.2589803174958703,-0.562309379084734,-0.7002260177953252,
2026-08-24 09:04:00,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37900.0,16.59,323458,74389000000.0,12259058200.0,74389000000.0,ACTUAL,1,38350.0,1.1734028683181226,1.1282000727978645,1.4608280154095592,82,37,19,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,219.327697,234.94759130477905,16,-0.39421813403416556,0.0,0.6640106241699867,4.551724137931035,5.277777777777778,,0.6484684851160228,1.1734028683181226,0.08199768414349773,-0.6001305559656429,
2026-08-24 09:04:15,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37600.0,15.67,341409,75703000000.0,12836978400.0,75703000000.0,ACTUAL,1,38350.0,1.955671447196871,1.1110409909447143,1.382743300108948,82,37,19,11,15,False,60,2026-08-24 09:00:20,36500.0,67.0,235.099694,250.8856589794159,17,-0.79155672823219,-1.1826544021024967,-0.2652519893899204,2.73224043715847,4.1551246537396125,,1.5630012901288082,1.6911211826466066,1.819245799175043,0.45498931895676176,
2026-08-24 09:04:31,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37750.0,16.28,355732,76658000000.0,13428883000.0,76658000000.0,ACTUAL,1,38350.0,1.564537157757497,1.0835053003533568,1.2711569453526723,79,37,19,11,12,False,60,2026-08-24 09:00:20,36500.0,67.0,251.060654,266.65486121177673,18,0.39893617021276595,-0.395778364116095,-0.395778364116095,1.7520215633423182,3.994490358126722,,0.39113428943937434,1.039602774555397,1.2957199534564217,0.6095576216047002,
2026-08-24 09:04:48,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,37750.0,15.82,362640,77126000000.0,13689660000.0,77126000000.0,ACTUAL,1,38350.0,1.564537157757497,1.0644822922129904,1.1991429024919316,79,37,19,11,12,False,60,2026-08-24 09:00:20,36500.0,67.0,267.15965,282.6150915622711,19,0.0,0.39893617021276595,-0.7884362680683311,1.07095046854083,4.137931034482759,,-0.3911342894393741,1.171867000689434,1.4308473181853043,0.47313197358287207,
