version,stock_code,stock_name,session,strategy,TP,SL,entry_time,exit_time,entry_price,exit_price,return_rate,MFE,MAE,result,score,trading_value_source,actual_trading_value,estimated_trading_value
v1.4,181710,NHN,MAIN,A,2.0,-1.0,2026-08-12 09:02:20,2026-08-12 09:02:32,59759.7,58900.0,-1.439,-0.1,-1.439,STOP_LOSS,82,ACTUAL,57906000000.0,60437049400.0
v1.4,181710,NHN,MAIN,B,2.0,-1.5,2026-08-12 09:02:20,2026-08-12 09:04:19,59759.7,61200.0,2.41,2.41,-1.439,TAKE_PROFIT,82,ACTUAL,57906000000.0,60437049400.0
v1.4,181710,NHN,MAIN,C,2.0,-2.0,2026-08-12 09:02:20,2026-08-12 09:04:19,59759.7,61200.0,2.41,2.41,-1.439,TAKE_PROFIT,82,ACTUAL,57906000000.0,60437049400.0
v1.4,181710,NHN,MAIN,D,2.5,-1.5,2026-08-12 09:02:20,2026-08-12 09:04:30,59759.7,61400.0,2.745,2.745,-1.439,TAKE_PROFIT,82,ACTUAL,57906000000.0,60437049400.0
v1.4,181710,NHN,MAIN,E,3.0,-2.0,2026-08-12 09:02:20,2026-08-12 09:04:42,59759.7,61800.0,3.414,3.414,-1.439,TAKE_PROFIT,82,ACTUAL,57906000000.0,60437049400.0
v1.4,002990,금호건설,MAIN,A,2.0,-1.0,2026-08-12 09:03:31,2026-08-12 09:04:55,12792.78,13170.0,2.949,2.949,-0.1,TAKE_PROFIT,76,ACTUAL,35526000000.0,37920317580.0
v1.4,002990,금호건설,MAIN,B,2.0,-1.5,2026-08-12 09:03:31,2026-08-12 09:04:55,12792.78,13170.0,2.949,2.949,-0.1,TAKE_PROFIT,76,ACTUAL,35526000000.0,37920317580.0
v1.4,002990,금호건설,MAIN,C,2.0,-2.0,2026-08-12 09:03:31,2026-08-12 09:04:55,12792.78,13170.0,2.949,2.949,-0.1,TAKE_PROFIT,76,ACTUAL,35526000000.0,37920317580.0
v1.4,002990,금호건설,MAIN,D,2.5,-1.5,2026-08-12 09:03:31,2026-08-12 09:04:55,12792.78,13170.0,2.949,2.949,-0.1,TAKE_PROFIT,76,ACTUAL,35526000000.0,37920317580.0
v1.4,002990,금호건설,MAIN,E,3.0,-2.0,2026-08-12 09:03:31,2026-08-12 09:05:06,12792.78,13350.0,4.356,4.356,-0.1,TAKE_PROFIT,76,ACTUAL,35526000000.0,37920317580.0
v1.4,006340,대원전선,MAIN,A,2.0,-1.0,2026-08-12 09:04:41,2026-08-12 09:07:15,15465.45,15300.0,-1.07,0.029,-1.07,STOP_LOSS,85,ACTUAL,29340000000.0,29655963120.0
v1.4,006340,대원전선,MAIN,B,2.0,-1.5,2026-08-12 09:04:41,2026-08-12 09:07:26,15465.45,15220.0,-1.587,0.029,-1.587,STOP_LOSS,85,ACTUAL,29340000000.0,29655963120.0
v1.4,006340,대원전선,MAIN,D,2.5,-1.5,2026-08-12 09:04:41,2026-08-12 09:07:26,15465.45,15220.0,-1.587,0.029,-1.587,STOP_LOSS,85,ACTUAL,29340000000.0,29655963120.0
