datetime,message
2026-08-12 08:06:21,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:06:21,KOSDAQ KA10027 160종목
2026-08-12 08:06:21,사전필터 통과 3종목
2026-08-12 08:06:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:06:22,KOSPI KA10032 100종목
2026-08-12 08:06:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:06:22,KOSDAQ KA10032 100종목
2026-08-12 08:06:22,거래대금 통과 0종목 (실제 3 / 추정 0)
2026-08-12 08:06:22,최종 후보 0종목
2026-08-12 08:06:22,===== 시장 스캔 종료 =====
2026-08-12 08:07:22,===== 시장 스캔 시작 =====
2026-08-12 08:07:23,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:07:23,KOSPI KA10027 200종목
2026-08-12 08:07:24,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:07:24,KOSDAQ KA10027 168종목
2026-08-12 08:07:24,사전필터 통과 3종목
2026-08-12 08:07:25,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:07:25,KOSPI KA10032 100종목
2026-08-12 08:07:26,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:07:26,KOSDAQ KA10032 100종목
2026-08-12 08:07:26,거래대금 통과 0종목 (실제 3 / 추정 0)
2026-08-12 08:07:26,최종 후보 0종목
2026-08-12 08:07:26,===== 시장 스캔 종료 =====
2026-08-12 08:08:26,===== 시장 스캔 시작 =====
2026-08-12 08:08:28,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:08:28,KOSPI KA10027 200종목
2026-08-12 08:08:29,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:08:29,KOSDAQ KA10027 174종목
2026-08-12 08:08:29,사전필터 통과 3종목
2026-08-12 08:08:29,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:08:29,KOSPI KA10032 100종목
2026-08-12 08:08:30,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:08:30,KOSDAQ KA10032 100종목
2026-08-12 08:08:30,거래대금 통과 1종목 (실제 3 / 추정 0)
2026-08-12 08:08:31,최종 후보 0종목
2026-08-12 08:08:31,===== 시장 스캔 종료 =====
2026-08-12 08:09:31,===== 시장 스캔 시작 =====
2026-08-12 08:09:32,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:09:32,KOSPI KA10027 200종목
2026-08-12 08:09:33,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:09:33,KOSDAQ KA10027 179종목
2026-08-12 08:09:33,사전필터 통과 3종목
2026-08-12 08:09:34,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:09:34,KOSPI KA10032 100종목
2026-08-12 08:09:35,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:09:35,KOSDAQ KA10032 100종목
2026-08-12 08:09:35,거래대금 통과 1종목 (실제 3 / 추정 0)
2026-08-12 08:09:35,최종 후보 0종목
2026-08-12 08:09:35,===== 시장 스캔 종료 =====
2026-08-12 08:10:35,===== 시장 스캔 시작 =====
2026-08-12 08:10:37,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:10:37,KOSPI KA10027 200종목
2026-08-12 08:10:37,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:10:37,KOSDAQ KA10027 183종목
2026-08-12 08:10:37,사전필터 통과 4종목
2026-08-12 08:10:38,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:10:38,KOSPI KA10032 100종목
2026-08-12 08:10:39,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:10:39,KOSDAQ KA10032 100종목
2026-08-12 08:10:39,거래대금 통과 1종목 (실제 4 / 추정 0)
2026-08-12 08:10:39,최종 후보 0종목
2026-08-12 08:10:39,===== 시장 스캔 종료 =====
2026-08-12 08:11:39,===== 시장 스캔 시작 =====
2026-08-12 08:11:40,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:11:40,KOSPI KA10027 200종목
2026-08-12 08:11:41,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:11:41,KOSDAQ KA10027 187종목
2026-08-12 08:11:41,사전필터 통과 5종목
2026-08-12 08:11:42,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:11:42,KOSPI KA10032 100종목
