datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score
2026-08-12 09:15:14,v1.4,MAIN,KOSPI,005930,삼성전자,248000.0,3.34,2370697,1431671000000.0,1453729612500.0,1431671000000.0,ACTUAL,1,248000.0,0.0,1.0,1.0,75
2026-08-12 09:16:27,v1.4,MAIN,KOSPI,005930,삼성전자,249000.0,3.76,2559830,1533953000000.0,1563269515500.0,1533953000000.0,ACTUAL,1,249000.0,0.0,1.0714423914432856,1.0797794910104497,82
2026-08-12 09:16:27,v1.4,MAIN,KOSPI,066570,LG전자,193500.0,6.44,497223,186987000000.0,189044438600.0,186987000000.0,ACTUAL,4,197800.0,2.1739130434782608,1.051629013480909,1.063972336287011,79
2026-08-12 09:17:40,v1.4,MAIN,KOSPI,005930,삼성전자,249250.0,4.18,3373956,1805314000000.0,1840887596500.0,1805314000000.0,ACTUAL,1,250500.0,0.499001996007984,1.1769030733014636,1.318039088533223,90
2026-08-12 09:18:51,v1.4,MAIN,KOSPI,161890,한국콜마,120400.0,11.12,200908,49014000000.0,50732088000.0,49014000000.0,ACTUAL,26,120400.0,0.0,1.1688367434539992,1.1941324013646684,81
2026-08-12 09:18:52,v1.4,MAIN,KOSDAQ,257720,실리콘투,43300.0,8.11,376655,47139000000.0,48453176300.0,47139000000.0,ACTUAL,5,43350.0,0.11534025374855825,1.0857768052516412,1.1504077456400232,80
2026-08-12 09:18:52,v1.4,MAIN,KOSPI,066570,LG전자,195000.0,7.32,537889,200148000000.0,203895705000.0,200148000000.0,ACTUAL,5,197800.0,1.4155712841253791,1.0383651616317255,1.0414255372289654,76
2026-08-12 09:18:52,v1.4,MAIN,KOSPI,005930,삼성전자,249000.0,3.97,3553112,1879862000000.0,1909810578000.0,1879862000000.0,ACTUAL,1,250500.0,0.5988023952095809,1.0412936475316759,1.0530996847617455,76
2026-08-12 09:20:07,v1.4,MAIN,KOSPI,161890,한국콜마,122700.0,13.35,227958,55099000000.0,57582142100.0,55099000000.0,ACTUAL,26,122800.0,0.08143322475570033,1.1241482025543723,1.1346387401198559,76
2026-08-12 09:20:07,v1.4,MAIN,KOSPI,066570,LG전자,194600.0,7.04,554811,205813000000.0,209043932000.0,205813000000.0,ACTUAL,5,197800.0,1.6177957532861478,1.0283040549993006,1.0314600224209827,76
2026-08-12 09:20:07,v1.4,MAIN,KOSPI,006340,대원전선,15550.0,6.96,5012675,76907000000.0,77163460630.0,76907000000.0,ACTUAL,19,15690.0,0.8922880815806247,1.0462540982491464,1.0450658352854447,75
2026-08-12 09:20:07,v1.4,MAIN,KOSPI,005930,삼성전자,250000.0,4.18,3662123,1941183000000.0,1976741095000.0,1941183000000.0,ACTUAL,1,250500.0,0.19960079840319359,1.032619947634454,1.0306804288747442,75
2026-08-12 09:21:19,v1.4,MAIN,KOSPI,161890,한국콜마,123000.0,13.99,261656,61696000000.0,64733547000.0,61696000000.0,ACTUAL,25,123600.0,0.48543689320388345,1.1197299406522805,1.1478254766228866,76
2026-08-12 09:21:19,v1.4,MAIN,KOSPI,006340,대원전선,15590.0,6.75,5249507,80516000000.0,80436955500.0,80516000000.0,ACTUAL,20,15690.0,0.6373486297004461,1.04692680770281,1.0472466297934735,76
2026-08-12 09:21:19,v1.4,MAIN,KOSPI,005930,삼성전자,249250.0,4.18,3749257,1991075000000.0,2026810256000.0,1991075000000.0,ACTUAL,1,250500.0,0.499001996007984,1.0257018529422521,1.0237933024095587,75
2026-08-12 09:22:33,v1.4,MAIN,KOSPI,006340,대원전선,15690.0,7.99,5649211,86632000000.0,88276612480.0,86632000000.0,ACTUAL,15,15700.0,0.06369426751592357,1.0759600576282975,1.0761412452636028,85
2026-08-12 09:22:33,v1.4,MAIN,KOSDAQ,257720,실리콘투,43600.0,8.86,473046,53883000000.0,55582500800.0,53883000000.0,ACTUAL,4,43650.0,0.11454753722794961,1.0842522537025112,1.1488921433619679,82
2026-08-12 09:22:33,v1.4,MAIN,KOSPI,161890,한국콜마,124100.0,14.55,296343,68230000000.0,71706416400.0,68230000000.0,ACTUAL,24,124100.0,0.0,1.1059063796680497,1.1325671874522274,76
2026-08-12 09:23:47,v1.4,MAIN,KOSPI,006340,대원전선,15610.0,7.37,6013767,92466000000.0,93490454980.0,92466000000.0,ACTUAL,15,15700.0,0.5732484076433121,1.0673423215440023,1.064532197505103,83
2026-08-12 09:23:47,v1.4,MAIN,KOSDAQ,257720,실리콘투,43775.0,9.11,508716,56512000000.0,58336528400.0,56512000000.0,ACTUAL,4,43900.0,0.2847380410022779,1.0487908987992502,1.075404928907548,78
2026-08-12 09:23:47,v1.4,MAIN,KOSPI,066570,LG전자,193900.0,6.71,598184,220105000000.0,222727306900.0,220105000000.0,ACTUAL,6,197800.0,1.9716885743174923,1.022992405581015,1.0206594366600918,76
2026-08-12 09:23:47,v1.4,MAIN,KOSPI,005930,삼성전자,249500.0,3.97,4029423,2096826000000.0,2128602894000.0,2096826000000.0,ACTUAL,1,250500.0,0.39920159680638717,1.01808822415531,1.0245554750371868,75
2026-08-12 09:25:00,v1.4,MAIN,KOSPI,161890,한국콜마,123500.0,14.37,332009,75850000000.0,79201822000.0,75850000000.0,ACTUAL,22,124500.0,0.8032128514056224,1.0536185581330741,1.0571043766755606,77
2026-08-12 09:25:00,v1.4,MAIN,KOSPI,006340,대원전선,15600.0,7.44,6149395,94639000000.0,95869332000.0,94639000000.0,ACTUAL,15,15700.0,0.6369426751592357,1.0235005299245128,1.0225529189940348,76
2026-08-12 09:25:00,v1.4,MAIN,KOSPI,066570,LG전자,194400.0,6.99,605087,222771000000.0,225952286400.0,222771000000.0,ACTUAL,6,197800.0,1.7189079878665317,1.0121124008995706,1.0115399275139423,76
2026-08-12 09:25:00,v1.4,MAIN,KOSPI,005930,삼성전자,249750.0,4.18,4167504,2144455000000.0,2180382745500.0,2144455000000.0,ACTUAL,1,250500.0,0.29940119760479045,1.0227148080002824,1.034268181821566,75
2026-08-12 09:25:00,v1.4,MAIN,KOSPI,000660,SK하이닉스,1467000.0,3.09,458696,1638577000000.0,1655886180000.0,1638577000000.0,ACTUAL,2,1469000.0,0.13614703880190604,1.0,1.0,75
2026-08-12 09:25:02,v1.4,MAIN,KOSDAQ,257720,실리콘투,43800.0,8.99,523766,57613000000.0,59371987950.0,57613000000.0,ACTUAL,4,43900.0,0.22779043280182232,1.0194825877689695,1.0295842867140015,75
2026-08-12 09:26:16,v1.4,MAIN,KOSPI,000660,SK하이닉스,1476000.0,3.65,511337,1773784000000.0,1798836823000.0,1773784000000.0,ACTUAL,2,1478000.0,0.13531799729364005,1.0825148894437064,1.1147622826447146,82
2026-08-12 09:26:16,v1.4,MAIN,KOSPI,006340,대원전선,15720.0,8.13,6431427,98975000000.0,100302150400.0,98975000000.0,ACTUAL,14,15720.0,0.0,1.0458162068491847,1.0458633735513818,78
2026-08-12 09:26:16,v1.4,MAIN,KOSPI,005930,삼성전자,250000.0,4.49,4425170,2224345000000.0,2261881622000.0,2224345000000.0,ACTUAL,1,250500.0,0.19960079840319359,1.0372542207693796,1.061827415162649,78
2026-08-12 09:26:16,v1.4,MAIN,KOSDAQ,257720,실리콘투,43900.0,9.49,556955,60041000000.0,62059808750.0,60041000000.0,ACTUAL,4,44000.0,0.22727272727272727,1.0421432662767083,1.0633660833272873,78
2026-08-12 09:26:16,v1.4,MAIN,KOSPI,161890,한국콜마,124000.0,14.92,353176,79695000000.0,83413436000.0,79695000000.0,ACTUAL,22,125000.0,0.8,1.0506921555702045,1.063754295817282,77
