version,stock_code,stock_name,strategy,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,signal_time,signal_price,live_order_time,live_fill_time,live_fill_price,live_entry_delay_sec,live_vs_signal_pct,buy_signal_time,buy_precheck_start_time,buy_precheck_end_time,buy_precheck_sec,buy_order_time,buy_fill_time,signal_to_order_sec,buy_order_to_fill_sec,signal_to_fill_sec,reference_price,avg_fill_price,signal_to_fill_slippage_pct,reference_to_fill_slippage_pct,requested_qty,filled_qty,filled_amount,entry_time,exit_trigger_reason,exit_trigger_time,exit_trigger_price,strategy_entry_price,target_price,stop_price,sell_order_time,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,sell_fill_avg_price,trigger_to_fill_sec,trigger_to_fill_slippage_pct,live_exit_order_time,live_exit_fill_time,exit_time,qty,actual_invested_amount,entry_price,live_exit_fill_price,exit_price,live_gross_return_pct,return_rate_gross,live_realized_pnl,pnl_gross_won,result,paper_T200_S150_result,paper_T200_S150_return_pct,broker_avg_price,broker_held_qty,broker_sellable_qty,auto_managed_qty,external_qty,entry_order_no,exit_order_no,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time,entry_seq,score
v1.6.9,067290,JW신약,T200_S150,20260903_067290_PRE_HISTORY_E001_091355513144,PRE_HISTORY,FIRST_75_PASS,20260903_067290_E001,2026-09-03 09:13:55.415,3365.0,2026-09-03 09:13:59.761,2026-09-03 09:14:01.489,3365.21,6.074492,0.006274107668402529,2026-09-03 09:13:55.415,2026-09-03 09:13:55.518,2026-09-03 09:13:59.738,4.219467,2026-09-03 09:13:59.761,2026-09-03 09:14:01.489,4.34591,1.728582,6.074492,3370.0,3365.211123723042,0.006274107668402529,-0.14210315361893322,881,881,2964751.0,2026-09-03 09:14:01.452,TAKE_PROFIT,2026-09-03 09:15:46.189,3435.0,3365.21,3432.52,3314.73,2026-09-03 09:15:55.717,2026-09-03 09:15:46.222,2026-09-03 09:15:53.651,7.429391,2026-09-03 09:15:55.932,9.528679,0.214294,3424.23,9.742973,-0.31359098021138676,2026-09-03 09:15:55.717,2026-09-03 09:15:55.932,2026-09-03 09:15:55.932,881,2964751.0,3365.21,3424.23,3424.23,1.7537,1.7537,51994.0,51994.0,TAKE_PROFIT,OPEN,,3366.0,881,881,881,0,0117323,0122435,,,,,1,79
v1.6.9,004310,현대약품,T200_S150,20260903_004310_PRE_HISTORY_E003_092316612760,PRE_HISTORY,FIRST_75_PASS,20260903_004310_E003,2026-09-03 09:23:16.570,8760.0,2026-09-03 09:23:20.300,2026-09-03 09:23:21.654,8790.0,5.084228,0.3424657534246478,2026-09-03 09:23:16.570,2026-09-03 09:23:16.613,2026-09-03 09:23:20.296,3.682465,2026-09-03 09:23:20.300,2026-09-03 09:23:21.654,3.730339,1.353889,5.084228,8780.0,8790.0,0.3424657534246478,0.1138952164009055,338,338,2971020.0,2026-09-03 09:23:21.654,STOP_LOSS,2026-09-03 09:23:35.830,8650.0,8790.0,8965.8,8658.15,2026-09-03 09:23:40.265,2026-09-03 09:23:35.916,2026-09-03 09:23:39.314,3.398485,2026-09-03 09:23:40.356,4.434494,0.091432,8680.21,4.525926,0.34921503574238955,2026-09-03 09:23:40.265,2026-09-03 09:23:40.356,2026-09-03 09:23:40.356,338,2971020.0,8790.0,8680.21,8680.21,-1.2491,-1.2491,-37110.0,-37110.0,STOP_LOSS,OPEN,,8790.0,338,338,338,0,0144909,0145875,,,,,2,78
v1.6.9,105560,KB금융,T200_S150,20260903_105560_PRE_HISTORY_E001_093042474668,PRE_HISTORY,FIRST_75_PASS,20260903_105560_E001,2026-09-03 09:30:42.422,178700.0,2026-09-03 09:30:47.351,2026-09-03 09:30:48.846,178700.0,6.42471,0.0,2026-09-03 09:30:42.422,2026-09-03 09:30:42.475,2026-09-03 09:30:47.321,4.846191,2026-09-03 09:30:47.351,2026-09-03 09:30:48.846,4.929192,1.495518,6.42471,178600.0,178700.0,0.0,0.05599104143336753,16,16,2859200.0,2026-09-03 09:30:48.846,STOP_LOSS,2026-09-03 14:19:33.641,176000.0,178700.0,182274.0,176019.5,2026-09-03 14:19:48.064,2026-09-03 14:19:33.687,2026-09-03 14:19:45.796,12.108239,2026-09-03 14:19:48.156,14.423182,0.091451,175900.0,14.514633,-0.056818181818185653,2026-09-03 14:19:48.064,2026-09-03 14:19:48.156,2026-09-03 14:19:48.156,16,2859200.0,178700.0,175900.0,175900.0,-1.5669,-1.5669,-44800.0,-44800.0,STOP_LOSS,STOP_LOSS,-1.5534,178700.0,16,16,16,0,0165978,0506451,,,,,3,78
