datetime,version,event,side,stock_code,stock_name,order_no,original_order_no,fill_no,requested_qty,broker_filled_qty,delta_qty,unfilled_qty,fill_price,broker_status,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,exchange,order_type,reason,error,response,broker_held_qty,broker_sellable_qty,broker_avg_price,auto_managed_qty,external_qty,pending_auto_buy_qty,pending_auto_sell_qty,signal_time,signal_price,reference_price,live_order_time,entry_seq,buy_signal_time,buy_precheck_start_time,buy_precheck_end_time,buy_precheck_sec,buy_order_time,buy_fill_time,signal_to_order_sec,signal_to_fill_sec,signal_to_fill_slippage_pct,reference_to_fill_slippage_pct,filled_qty,filled_amount,avg_fill_price,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_order_time,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,trigger_to_fill_sec,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time
2026-09-07 09:19:10.813,v1.7.0,ORDER_ACCEPTED,BUY,042700,한미반도체,0171971,,,4,,,,,,,,,,SOR,3,,,"{'ord_no': '0171971', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 09:19:10.842,v1.7.0,FILL,BUY,042700,한미반도체,0171971,,33613,4,4,4,0,244000.0,체결,20260907_042700_PRE_HISTORY_E002_091904666053,PRE_HISTORY,FIRST_75_PASS,20260907_042700_E002,,,,,,,,,,,,,,,243500.0,,3,2026-09-07 09:19:04.564,2026-09-07 09:19:04.671,2026-09-07 09:19:09.256,4.585318,2026-09-07 09:19:09.292,,4.727585,,,,,,,,,,,,,,,,,,
2026-09-07 09:19:10.863,v1.7.0,BUY_FILL_QUALITY_FINAL,BUY,042700,한미반도체,0171971,,33613,4,4,,0,,,20260907_042700_PRE_HISTORY_E002_091904666053,PRE_HISTORY,FIRST_75_PASS,20260907_042700_E002,,,,,,,,,,,,,,243750.0,243500.0,,3,2026-09-07 09:19:04.564756,2026-09-07 09:19:04.671566,2026-09-07 09:19:09.256884,4.585318,2026-09-07 09:19:09.292341,2026-09-07 09:19:10.843093,4.727585,6.278337,0.10256410256410664,0.2053388090349051,4,976000.0,244000.0,,,,,,,1.550752,,,,,
2026-09-07 09:19:14.175,v1.7.0,LIVE_ENTRY_LINK,BUY,042700,한미반도체,0171971,,,4,,,,,,20260907_042700_PRE_HISTORY_E002_091904666053,PRE_HISTORY,FIRST_75_PASS,20260907_042700_E002,,,,,,,,,,,,,2026-09-07 09:19:04.564,243750.0,243500.0,2026-09-07 09:19:09.292,3,2026-09-07 09:19:04.564,2026-09-07 09:19:04.671,2026-09-07 09:19:09.256,4.585318,2026-09-07 09:19:09.292,,4.727585,,,,,,,,,,,,,,,,,,
2026-09-07 09:23:53.161,v1.7.0,ORDER_ACCEPTED,BUY,004310,현대약품,0188887,,,110,,,,,,,,,,SOR,3,,,"{'ord_no': '0188887', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 09:23:53.181,v1.7.0,LIVE_ENTRY_LINK,BUY,004310,현대약품,0188887,,,110,,,,,,20260907_004310_PRE_HISTORY_E002_092344626430,PRE_HISTORY,FIRST_75_PASS,20260907_004310_E002,,,,,,,,,,,,,2026-09-07 09:23:44.459,8980.0,8970.0,2026-09-07 09:23:51.340,4,2026-09-07 09:23:44.459,2026-09-07 09:23:44.676,2026-09-07 09:23:51.326,6.650057,2026-09-07 09:23:51.340,,6.880732,,,,,,,,,,,,,,,,,,
2026-09-07 09:23:53.252,v1.7.0,FILL,BUY,004310,현대약품,0188887,,48950,110,110,110,0,8980.0,체결,20260907_004310_PRE_HISTORY_E002_092344626430,PRE_HISTORY,FIRST_75_PASS,20260907_004310_E002,,,,,,,,,,,,,,,8970.0,,4,2026-09-07 09:23:44.459,2026-09-07 09:23:44.676,2026-09-07 09:23:51.326,6.650057,2026-09-07 09:23:51.340,,6.880732,,,,,,,,,,,,,,,,,,
2026-09-07 09:23:53.281,v1.7.0,BUY_FILL_QUALITY_FINAL,BUY,004310,현대약품,0188887,,48950,110,110,,0,,,20260907_004310_PRE_HISTORY_E002_092344626430,PRE_HISTORY,FIRST_75_PASS,20260907_004310_E002,,,,,,,,,,,,,,8980.0,8970.0,,4,2026-09-07 09:23:44.459555,2026-09-07 09:23:44.676129,2026-09-07 09:23:51.326186,6.650057,2026-09-07 09:23:51.340287,2026-09-07 09:23:53.256352,6.880732,8.796797,0.0,0.11148272017837968,110,987800.0,8980.0,,,,,,,1.916065,,,,,
2026-09-07 09:27:14.459,v1.7.0,ORDER_ACCEPTED,SELL,004310,현대약품,0200224,,,110,,,,,,,,,,SOR,3,,,"{'ord_no': '0200224', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매도주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 09:27:16.146,v1.7.0,FILL,SELL,004310,현대약품,0200224,,57409,110,34,34,76,9120.0,체결,20260907_004310_PRE_HISTORY_E002_092344626430,PRE_HISTORY,FIRST_75_PASS,20260907_004310_E002,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2026-09-07 09:27:04.515,2026-09-07 09:27:11.340,6.82522,2026-09-07 09:27:14.460,,9.974977,,,,,,
2026-09-07 09:27:16.218,v1.7.0,FILL,SELL,004310,현대약품,0200224,,57410,110,110,76,0,9113.0,체결,20260907_004310_PRE_HISTORY_E002_092344626430,PRE_HISTORY,FIRST_75_PASS,20260907_004310_E002,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2026-09-07 09:27:04.515,2026-09-07 09:27:11.340,6.82522,2026-09-07 09:27:14.460,,9.974977,,,,,,
2026-09-07 11:56:19.302,v1.7.0,ORDER_ACCEPTED,SELL,042700,한미반도체,0457279,,,4,,,,,,,,,,SOR,3,,,"{'ord_no': '0457279', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매도주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 11:56:19.519,v1.7.0,FILL,SELL,042700,한미반도체,0457279,,59548,4,4,4,0,240000.0,체결,20260907_042700_PRE_HISTORY_E002_091904666053,PRE_HISTORY,FIRST_75_PASS,20260907_042700_E002,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2026-09-07 11:56:09.457,2026-09-07 11:56:15.332,5.875042,2026-09-07 11:56:19.391,,10.00934,,,,,,
