version,stock_code,stock_name,strategy,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,signal_time,signal_price,live_order_time,live_fill_time,live_fill_price,live_entry_delay_sec,live_vs_signal_pct,buy_signal_time,buy_precheck_start_time,buy_precheck_end_time,buy_precheck_sec,buy_order_time,buy_fill_time,signal_to_order_sec,buy_order_to_fill_sec,signal_to_fill_sec,reference_price,avg_fill_price,signal_to_fill_slippage_pct,reference_to_fill_slippage_pct,requested_qty,filled_qty,filled_amount,entry_time,exit_trigger_reason,exit_trigger_time,exit_trigger_price,strategy_entry_price,target_price,stop_price,sell_order_time,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,sell_fill_avg_price,trigger_to_fill_sec,trigger_to_fill_slippage_pct,live_exit_order_time,live_exit_fill_time,exit_time,qty,actual_invested_amount,entry_price,live_exit_fill_price,exit_price,live_gross_return_pct,return_rate_gross,live_realized_pnl,pnl_gross_won,estimated_cost_won,estimated_net_return_pct,estimated_net_pnl_won,max_return_pct,min_return_pct,profit_protect_armed,profit_protect_armed_time,profit_protect_trigger_return_pct,noon_recovery_eligible,noon_recovery_waiting,noon_return_pct,noon_mfe_pct,noon_recovery_trigger_return_pct,result,paper_reference_result,paper_reference_return_pct,broker_avg_price,broker_held_qty,broker_sellable_qty,auto_managed_qty,external_qty,entry_order_no,exit_order_no,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time,entry_seq,score
v1.7.0,336260,두산퓨얼셀,T250_S150,20260907_336260_PRE_HISTORY_E001_090635554661,PRE_HISTORY,FIRST_75_PASS,20260907_336260_E001,2026-09-07 09:06:35.517,49100.0,2026-09-07 09:06:38.374,2026-09-07 09:06:39.259,49300.0,3.742069,0.40733197556008793,2026-09-07 09:06:35.517,2026-09-07 09:06:35.556,2026-09-07 09:06:38.345,2.788363,2026-09-07 09:06:38.374,2026-09-07 09:06:39.259,2.856459,0.88561,3.742069,49300.0,49300.0,0.40733197556008793,0.0,20,20,986000.0,2026-09-07 09:06:39.259,TAKE_PROFIT,2026-09-07 09:14:54.768,50600.0,49300.0,50532.5,48560.5,2026-09-07 09:15:07.418,2026-09-07 09:14:54.848,2026-09-07 09:15:04.239,9.390867,2026-09-07 09:15:13.520,12.649491,6.101998,50300.0,18.751489,-0.5928853754940677,2026-09-07 09:15:07.418,2026-09-07 09:15:13.520,2026-09-07 09:15:13.520,20,986000.0,49300.0,50300.0,50300.0,2.0284,2.0284,20000.0,20000.0,2366.0,1.7884,17634.0,2.6369168356997985,-1.4198782961460488,True,2026-09-07 09:14:08.859,,False,False,,,,TAKE_PROFIT,TAKE_PROFIT,2.5451,49300.0,20,20,20,0,0122593,0157050,,,,,1,75
v1.7.0,067290,JW신약,T250_S150,20260907_067290_PRE_HISTORY_E001_091452843725,PRE_HISTORY,FIRST_75_PASS,20260907_067290_E001,2026-09-07 09:14:52.716,3585.0,2026-09-07 09:14:59.118,2026-09-07 09:15:02.363,3575.0,9.647388,-0.2789400278940035,2026-09-07 09:14:52.716,2026-09-07 09:14:52.851,2026-09-07 09:14:59.089,6.237749,2026-09-07 09:14:59.118,2026-09-07 09:15:02.363,6.402734,3.244654,9.647388,3585.0,3575.0,-0.2789400278940035,-0.2789400278940035,276,276,986700.0,2026-09-07 09:15:02.363,STOP_LOSS,2026-09-07 09:18:05.763,3520.0,3575.0,3664.37,3521.38,2026-09-07 09:18:15.261,2026-09-07 09:18:05.798,2026-09-07 09:18:12.631,6.832194,2026-09-07 09:18:15.356,9.49822,0.095194,3510.0,9.593414,-0.28409090909090606,2026-09-07 09:18:15.261,2026-09-07 09:18:15.356,2026-09-07 09:18:15.356,276,986700.0,3575.0,3510.0,3510.0,-1.8182,-1.8182,-17940.0,-17940.0,2368.0,-2.0582,-20308.0,2.0979020979021046,-1.538461538461533,True,2026-09-07 09:15:12.516,,False,False,,,,STOP_LOSS,STOP_LOSS,-1.6325,3575.0,276,276,276,0,0156675,0168416,,,,,2,77
v1.7.0,004310,현대약품,T250_S150,20260907_004310_PRE_HISTORY_E002_092344626430,PRE_HISTORY,FIRST_75_PASS,20260907_004310_E002,2026-09-07 09:23:44.459,8980.0,2026-09-07 09:23:51.340,2026-09-07 09:23:53.256,8980.0,8.796797,0.0,2026-09-07 09:23:44.459,2026-09-07 09:23:44.676,2026-09-07 09:23:51.326,6.650057,2026-09-07 09:23:51.340,2026-09-07 09:23:53.256,6.880732,1.916065,8.796797,8970.0,8980.0,0.0,0.11148272017837968,110,110,987800.0,2026-09-07 09:23:53.256,TAKE_PROFIT,2026-09-07 09:27:04.485,9210.0,8980.0,9204.5,8845.3,2026-09-07 09:27:14.460,2026-09-07 09:27:04.515,2026-09-07 09:27:11.340,6.82522,2026-09-07 09:27:16.218,9.974977,1.757293,9115.16,11.73227,-1.0297107886684365,2026-09-07 09:27:14.460,2026-09-07 09:27:16.218,2026-09-07 09:27:16.218,110,987800.0,8980.0,9115.16,9115.16,1.5052,1.5052,14868.0,14868.0,2371.0,1.2652,12497.0,2.5612472160356337,-0.11135857461024301,True,2026-09-07 09:26:32.449,,False,False,,,,TAKE_PROFIT,OPEN,,8980.0,110,110,110,0,0188887,0200224,,,,,4,82
v1.7.0,042700,한미반도체,T250_S150,20260907_042700_PRE_HISTORY_E002_091904666053,PRE_HISTORY,FIRST_75_PASS,20260907_042700_E002,2026-09-07 09:19:04.564,243750.0,2026-09-07 09:19:09.292,2026-09-07 09:19:10.843,244000.0,6.278337,0.10256410256410664,2026-09-07 09:19:04.564,2026-09-07 09:19:04.671,2026-09-07 09:19:09.256,4.585318,2026-09-07 09:19:09.292,2026-09-07 09:19:10.843,4.727585,1.550752,6.278337,243500.0,244000.0,0.10256410256410664,0.2053388090349051,4,4,976000.0,2026-09-07 09:19:10.843,STOP_LOSS,2026-09-07 11:56:09.381,240000.0,244000.0,250100.0,240340.0,2026-09-07 11:56:19.391,2026-09-07 11:56:09.457,2026-09-07 11:56:15.332,5.875042,2026-09-07 11:56:19.520,10.00934,0.12891,240000.0,10.13825,0.0,2026-09-07 11:56:19.391,2026-09-07 11:56:19.520,2026-09-07 11:56:19.520,4,976000.0,244000.0,240000.0,240000.0,-1.6393,-1.6393,-16000.0,-16000.0,2342.0,-1.8793,-18342.0,1.8442622950819665,-1.6393442622950838,True,2026-09-07 09:41:43.837,,False,False,,,,STOP_LOSS,STOP_LOSS,-1.6368,244000.0,4,4,4,0,0171971,0457279,,,,,3,76
