trade_date,rule_family,index_family,entry_time_variant,tp_pct,sl_pct,entries,gross_return_pct,net_return_pct
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.3,-0.75,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.3,-0.5,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.3,-0.3,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.3,-0.2,1,-0.20000000000000018,-0.4883070288041523
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.5,-0.75,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.5,-0.5,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.5,-0.3,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.5,-0.2,1,-0.20000000000000018,-0.4883070288041523
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.75,-0.75,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.75,-0.5,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.75,-0.3,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,0.75,-0.2,1,-0.20000000000000018,-0.4883070288041523
2025-09-02,ORIGINAL,KOSDAQ150,15:00,1.0,-0.75,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,1.0,-0.5,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,1.0,-0.3,1,-0.20161290322581182,-0.4899222641158179
2025-09-02,ORIGINAL,KOSDAQ150,15:00,1.0,-0.2,1,-0.20000000000000018,-0.4883070288041523
2025-09-02,ORIGINAL,KOSPI200,15:00,0.3,-0.75,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.3,-0.5,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.3,-0.3,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.3,-0.2,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.5,-0.75,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.5,-0.5,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.5,-0.3,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.5,-0.2,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.75,-0.75,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.75,-0.5,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.75,-0.3,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,0.75,-0.2,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,1.0,-0.75,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,1.0,-0.5,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,1.0,-0.3,1,0.058865081233805405,0.0353259748587926
2025-09-02,ORIGINAL,KOSPI200,15:00,1.0,-0.2,1,0.058865081233805405,0.0353259748587926
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.3,-0.75,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.3,-0.5,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.3,-0.3,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.3,-0.2,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.5,-0.75,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.5,-0.5,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.5,-0.3,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.5,-0.2,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.75,-0.75,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.75,-0.5,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.75,-0.3,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,0.75,-0.2,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,1.0,-0.75,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,1.0,-0.5,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,1.0,-0.3,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,KOREAN_V20,KOSPI200,15:00,1.0,-0.2,1,-0.08571428571428896,-0.3715511254544745
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.3,-0.75,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.3,-0.5,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.3,-0.3,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.3,-0.2,1,-0.20000000000000018,-0.4888894672461808
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.5,-0.75,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.5,-0.5,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.5,-0.3,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.5,-0.2,1,-0.20000000000000018,-0.4888894672461808
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.75,-0.75,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.75,-0.5,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.75,-0.3,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,0.75,-0.2,1,-0.20000000000000018,-0.4888894672461808
2025-09-03,ORIGINAL,KOSDAQ150,15:00,1.0,-0.75,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,1.0,-0.5,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,1.0,-0.3,1,0.0,-0.2886002886002886
2025-09-03,ORIGINAL,KOSDAQ150,15:00,1.0,-0.2,1,-0.20000000000000018,-0.4888894672461808
2025-09-03,ORIGINAL,KOSPI200,15:00,0.3,-0.75,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.3,-0.5,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.3,-0.3,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.3,-0.2,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.5,-0.75,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.5,-0.5,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.5,-0.3,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.5,-0.2,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.75,-0.75,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.75,-0.5,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.75,-0.3,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,0.75,-0.2,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,1.0,-0.75,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,1.0,-0.5,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,1.0,-0.3,1,0.09143339428892006,0.06799964245673575
2025-09-03,ORIGINAL,KOSPI200,15:00,1.0,-0.2,1,0.09143339428892006,0.06799964245673575
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.3,-0.75,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.3,-0.5,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.3,-0.3,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.3,-0.2,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.5,-0.75,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.5,-0.5,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.5,-0.3,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.5,-0.2,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.75,-0.75,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.75,-0.5,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.75,-0.3,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,0.75,-0.2,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,1.0,-0.75,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,1.0,-0.5,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,1.0,-0.3,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:30,1.0,-0.2,1,0.03738597278302169,-0.03737200089691814
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.3,-0.75,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.3,-0.5,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.3,-0.3,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.3,-0.2,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.5,-0.75,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.5,-0.5,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.5,-0.3,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.5,-0.2,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.75,-0.75,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.75,-0.5,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.75,-0.3,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,0.75,-0.2,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,1.0,-0.75,1,0.0,-0.07474400179385604
2025-09-04,KOREAN_V20,KOSDAQ150,14:50,1.0,-0.5,1,0.0,-0.07474400179385604
