decision_id,trade_date,index_family,rule_family,entry_time_variant,decision,reason,direction,morning_return_pct,cumulative_return_pct
2025-09-04|KOSDAQ150|KOREAN_V20|15:00,2025-09-04,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,LONG,1.053502897132974,0.7148769659116594
2025-09-04|KOSDAQ150|ORIGINAL|15:00,2025-09-04,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,1.2058180721983502,
2025-09-05|KOSPI200|KOREAN_V20|14:30,2025-09-05,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,LONG,0.12555219716345878,0.13717740060450456
2025-09-05|KOSPI200|KOREAN_V20|14:50,2025-09-05,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,LONG,0.12555219716345878,0.16042780748664054
2025-09-05|KOSPI200|KOREAN_V20|15:00,2025-09-05,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,LONG,0.12555219716345878,0.1023017902813228
2025-09-05|KOSPI200|ORIGINAL|15:00,2025-09-05,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.45018777262018084,
2025-09-05|KOSDAQ150|KOREAN_V20|14:30,2025-09-05,KOSDAQ150,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.3343487629095754,0.4829482130916052
2025-09-05|KOSDAQ150|KOREAN_V20|14:50,2025-09-05,KOSDAQ150,KOREAN_V20,14:50,SKIP,NO_DIRECTION_CONSENSUS,,-0.3343487629095754,0.5200980756371099
2025-09-05|KOSDAQ150|KOREAN_V20|15:00,2025-09-05,KOSDAQ150,KOREAN_V20,15:00,SKIP,NO_DIRECTION_CONSENSUS,,-0.3343487629095754,0.40864848800059583
2025-09-05|KOSDAQ150|ORIGINAL|15:00,2025-09-05,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,0.2616040062785041,
2025-09-08|KOSPI200|KOREAN_V20|14:30,2025-09-08,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.06955876556377083,-0.21795079876648638
2025-09-08|KOSPI200|KOREAN_V20|14:50,2025-09-08,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.06955876556377083,-0.1831714159846065
2025-09-08|KOSPI200|KOREAN_V20|15:00,2025-09-08,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.06955876556377083,-0.15071065872150902
2025-09-08|KOSPI200|ORIGINAL|15:00,2025-09-08,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.12545011034963416,
2025-09-08|KOSDAQ150|KOREAN_V20|14:30,2025-09-08,KOSDAQ150,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.3664614482556394,-0.32981530343008103
2025-09-08|KOSDAQ150|KOREAN_V20|14:50,2025-09-08,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.3664614482556394,-0.32981530343008103
2025-09-08|KOSDAQ150|KOREAN_V20|15:00,2025-09-08,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.3664614482556394,-0.29316915860451154
2025-09-08|KOSDAQ150|ORIGINAL|15:00,2025-09-08,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,0.5175983436852993,
2025-09-09|KOSPI200|KOREAN_V20|14:30,2025-09-09,KOSPI200,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.057714061453928434,0.9603619825934384
2025-09-09|KOSPI200|KOREAN_V20|14:50,2025-09-09,KOSPI200,KOREAN_V20,14:50,SKIP,NO_DIRECTION_CONSENSUS,,-0.057714061453928434,1.0734815430431421
2025-09-09|KOSPI200|KOREAN_V20|15:00,2025-09-09,KOSPI200,KOREAN_V20,15:00,SKIP,NO_DIRECTION_CONSENSUS,,-0.057714061453928434,1.1427384167878696
2025-09-09|KOSPI200|ORIGINAL|15:00,2025-09-09,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.1828153564899404,
2025-09-09|KOSDAQ150|KOREAN_V20|14:30,2025-09-09,KOSDAQ150,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.4387889425186531,0.14626298083955103
2025-09-09|KOSDAQ150|KOREAN_V20|14:50,2025-09-09,KOSDAQ150,KOREAN_V20,14:50,SKIP,NO_DIRECTION_CONSENSUS,,-0.4387889425186531,0.18282872604944433
2025-09-09|KOSDAQ150|KOREAN_V20|15:00,2025-09-09,KOSDAQ150,KOREAN_V20,15:00,SKIP,NO_DIRECTION_CONSENSUS,,-0.4387889425186531,0.21939447125931544
2025-09-09|KOSDAQ150|ORIGINAL|15:00,2025-09-09,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,INVERSE,-0.32945310784098236,
2025-09-10|KOSPI200|KOREAN_V20|14:30,2025-09-10,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,LONG,1.2731613049903334,1.8006138456291954
2025-09-10|KOSPI200|KOREAN_V20|14:50,2025-09-10,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,LONG,1.2731613049903334,1.7551437990223961
2025-09-10|KOSPI200|KOREAN_V20|15:00,2025-09-10,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,LONG,1.2731613049903334,1.7665113106740904
2025-09-10|KOSPI200|ORIGINAL|15:00,2025-09-10,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,1.6962695767316571,
2025-09-10|KOSDAQ150|KOREAN_V20|14:30,2025-09-10,KOSDAQ150,KOREAN_V20,14:30,ENTER,PASS,LONG,0.21765943553653244,0.2902125807153766
2025-09-10|KOSDAQ150|KOREAN_V20|14:50,2025-09-10,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,LONG,0.21765943553653244,0.2902125807153766
2025-09-10|KOSDAQ150|KOREAN_V20|15:00,2025-09-10,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,LONG,0.21765943553653244,0.2539360081259545
2025-09-10|KOSDAQ150|ORIGINAL|15:00,2025-09-10,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,0.7586257203297198,
2025-09-11|KOSPI200|KOREAN_V20|14:30,2025-09-11,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.33936651583710287,-0.3060952887942503
2025-09-11|KOSPI200|KOREAN_V20|14:50,2025-09-11,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.33936651583710287,-0.24177091651139682
2025-09-11|KOSPI200|KOREAN_V20|15:00,2025-09-11,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.33936651583710287,-0.2528613255256884
2025-09-11|KOSPI200|ORIGINAL|15:00,2025-09-11,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.4650850792657035,
2025-09-11|KOSDAQ150|KOREAN_V20|14:30,2025-09-11,KOSDAQ150,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.25301814501553777,0.07229089857587745
2025-09-11|KOSDAQ150|KOREAN_V20|14:50,2025-09-11,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.25301814501553777,-0.036145449287938725
2025-09-11|KOSDAQ150|KOREAN_V20|15:00,2025-09-11,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.25301814501553777,-0.07229089857586635
2025-09-11|KOSDAQ150|ORIGINAL|15:00,2025-09-11,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,INVERSE,-0.2890591125885189,
2025-09-12|KOSPI200|KOREAN_V20|14:30,2025-09-12,KOSPI200,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.3901455374364371,0.5742591618446369
2025-09-12|KOSPI200|KOREAN_V20|14:50,2025-09-12,KOSPI200,KOREAN_V20,14:50,SKIP,NO_DIRECTION_CONSENSUS,,-0.3901455374364371,0.5413817289146028
2025-09-12|KOSPI200|KOREAN_V20|15:00,2025-09-12,KOSPI200,KOREAN_V20,15:00,SKIP,NO_DIRECTION_CONSENSUS,,-0.3901455374364371,0.5633000175346403
