datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,focus_signal,watch_score,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,history_available_sec,history_sample_count,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec
2026-08-26 09:04:46,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14550.0,7.78,1923879,27377000000.0,27992439450.0,27377000000.0,ACTUAL,3,14610.0,0.41067761806981523,1.2715154892945055,1.2661730211840647,77,24,25,16,12,False,60,2026-08-26 09:04:26.661,14380.0,71.0,20.169498,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,20.169498,205.00144600868225,14,1.1821974965229485,15.497253656387329,0.8316008316008316,30.98313617706299,0.2066115702479339,62.59683060646057,1.111883252258513,125.56889319419861,1.3231197771587744,173.1910436153412,,,-0.8213552361396304,30.98313617706299,-0.2053388090349076,62.59683060646057,,,,,,
2026-08-26 09:05:17,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14610.0,7.56,2145525,29506000000.0,31346120250.0,29506000000.0,ACTUAL,3,14610.0,0.0,1.248033161323069,1.291449446257248,77,24,25,16,12,True,60,2026-08-26 09:04:26.661,14380.0,71.0,51.100089,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,51.100089,236.12785983085632,16,1.1772853185595569,15.993655443191528,0.4123711340206186,31.126413822174072,1.2474012474012475,62.10954999923706,1.4583333333333333,124.98078536987305,1.107266435986159,172.39138650894165,,,-0.41067761806981523,31.126413822174072,-1.2320328542094456,62.10954999923706,-0.4791238877481177,109.12394833564758,,,,
2026-08-26 09:05:33,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14770.0,9.26,2398483,34165000000.0,35425593910.0,34165000000.0,ACTUAL,3,14790.0,0.1352265043948614,1.400951326526428,1.3939992223538964,89,29,25,20,15,True,60,2026-08-26 09:04:26.661,14380.0,71.0,66.907475,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,66.907475,251.62784147262573,17,1.0951403148528405,15.49998164176941,2.285318559556787,31.493637084960938,2.7121001390820583,62.12364912033081,1.5818431911966988,124.62392997741699,2.640722724113968,172.1952886581421,,,-1.0283600801362818,31.493637084960938,-1.4390376982060968,62.12364912033081,-0.3438973833532563,124.62392997741699,,,,
2026-08-26 09:05:49,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14710.0,9.04,2509084,35965000000.0,36908625640.0,35965000000.0,ACTUAL,3,14790.0,0.5409060175794456,1.3136939766957665,1.3041797327170783,86,29,22,20,15,True,60,2026-08-26 09:04:26.661,14380.0,71.0,83.156712,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,83.156712,267.42714285850525,18,-0.4062288422477996,15.799301385879517,0.6844626967830253,31.299283027648926,1.0996563573883162,62.425696849823,1.3085399449035813,125.02252745628357,1.65860400829302,172.16479682922363,,,0.5409060175794456,31.299283027648926,0.13022839950963033,62.425696849823,-0.07511040952527726,125.02252745628357,,,,
2026-08-26 09:06:04,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14780.0,9.63,2649933,37937000000.0,39166009740.0,37937000000.0,ACTUAL,3,14800.0,0.13513513513513514,1.3412883609107622,1.3347408069291422,89,29,25,20,15,True,60,2026-08-26 09:04:26.661,14380.0,71.0,98.230625,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,98.230625,282.6781904697418,19,0.4758667573079538,15.251047611236572,0.06770480704129993,31.05034899711609,2.3545706371191137,62.543986082077026,1.790633608815427,124.415123462677,2.1423635107118177,187.4158444404602,,,-9.136925972624832e-05,31.05034899711609,-1.028451449396008,62.543986082077026,-0.4808812919695877,124.415123462677,-0.34398875261298256,155.67427897453308,,
2026-08-26 09:06:20,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14710.0,8.96,2740205,39391000000.0,40308415550.0,39391000000.0,ACTUAL,2,14800.0,0.6081081081081081,1.335016606791839,1.277172253877256,83,29,22,20,12,True,60,2026-08-26 09:04:26.661,14380.0,71.0,113.426592,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,113.426592,297.74752497673035,20,-0.4736129905277402,15.069334506988525,0.0,30.320382118225098,0.6844626967830253,61.61966514587402,1.9404019404019404,123.72921514511108,2.1527777777777777,186.60045051574707,,,0.06720209052866255,30.320382118225098,0.6081081081081081,61.61966514587402,-0.6239247461013375,123.72921514511108,0.1289842203599904,170.7436134815216,,
2026-08-26 09:06:35,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14800.0,9.04,2849794,40089000000.0,42176951200.0,40089000000.0,ACTUAL,2,14800.0,0.0,1.1733938240889799,1.1881651860780336,82,29,25,16,12,True,60,2026-08-26 09:04:26.661,14380.0,71.0,129.031123,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,129.031123,312.94401264190674,21,0.6118286879673691,15.196487665176392,0.13531799729364005,30.265822172164917,0.2031144211238998,61.316171169281006,2.920723226703755,123.43982028961182,1.7881705639614855,185.940101146698,5.714285714285714,297.0317027568817,-0.13513513513513514,30.265822172164917,-0.1352265043948614,61.316171169281006,-1.5742642026009581,123.43982028961182,-0.4791238877481177,185.940101146698,,
2026-08-26 09:06:52,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14710.0,8.96,2978787,42852000000.0,43817956770.0,42852000000.0,ACTUAL,2,14800.0,0.6081081081081081,1.1914917280689559,1.18720098649547,79,29,22,16,12,True,60,2026-08-26 09:04:26.661,14380.0,71.0,145.565514,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,145.565514,328.56101512908936,22,-0.6081081081081081,15.617002487182617,0.0,30.81349015235901,0.0,61.133872270584106,1.0996563573883162,123.5595691204071,1.3085399449035813,186.15639972686768,2.437325905292479,296.7506127357483,0.0,30.81349015235901,0.06720209052866255,61.133872270584106,0.19743049003829288,123.5595691204071,-0.007908318996614705,186.15639972686768,,
2026-08-26 09:07:07,v1.6.4,MAIN,KOSDAQ,010170,대한광통신,14610.0,8.37,3062636,44045000000.0,44745111960.0,44045000000.0,ACTUAL,2,14800.0,1.2837837837837838,1.161003769407175,1.1557409187326624,76,29,19,16,12,True,60,2026-08-26 09:04:26.661,14380.0,71.0,160.434734,20260826_010170_E001,2026-08-26 09:04:26.661,14380.0,71.0,160.434734,344.08323669433594,23,-0.6798096532970768,15.522221565246582,-1.2837837837837838,31.1392240524292,-1.1502029769959403,61.405046224594116,1.1772853185595569,123.94903230667114,0.6198347107438017,185.82016968727112,2.025139664804469,296.34021520614624,1.2837837837837838,31.1392240524292,1.1486486486486487,61.405046224594116,0.12019719925264072,123.94903230667114,0.667767356679061,185.82016968727112,,
2026-08-26 09:07:53,v1.6.4,MAIN,KOSPI,002990,금호건설,17150.0,10.27,1718252,27517000000.0,29468021800.0,27517000000.0,ACTUAL,30,17180.0,0.17462165308498254,1.3386359213854835,1.3196503055563875,84,24,25,20,15,True,60,2026-08-26 09:07:48.167,17150.0,84.0,5.673712,20260826_002990_E001,2026-08-26 09:07:48.167,17150.0,84.0,5.673712,452.4703164100647,21,2.205005959475566,15.61166787147522,1.6597510373443984,31.054078817367554,2.265951103160406,62.449142932891846,5.798889574336829,123.58301520347595,5.798889574336829,186.00871205329895,,,-0.002893139814425738,31.054078817367554,0.17462165308498254,62.449142932891846,,,,,,
