datetime,message
2026-09-07 22:01:14,========================================
2026-09-07 22:01:14,스크리너 시작 v1.7.1
2026-09-07 22:01:14,AUTO_TRADE_ENABLED = True
2026-09-07 22:01:14,⚠ 실제 주문 ON
2026-09-07 22:01:14,LIVE ENTRY = FIRST_75_PASS
2026-09-07 22:01:14,시간 = MAIN 09:05:00 이상 / 09:30:00 미만
2026-09-07 22:01:14,"종목당 최대 = 1,000,000원"
2026-09-07 22:01:14,하루 최대 = 5종목 / 동일종목 하루 1회
2026-09-07 22:01:14,TP/SL = +2.50% / -1.50%
2026-09-07 22:01:14,수익보호=False / 정오회복=False / 추정비용=0.24%
2026-09-07 22:01:14,========================================
2026-09-07 22:01:14,키움 접근토큰 발급 요청
2026-09-07 22:01:16,키움 접근토큰 발급 성공 / 만료: 20260908220116
2026-09-07 22:01:17,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-07 22:01:18,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-07 22:01:18,broker 시작 잔고 확인 / 기존보유 2종목
2026-09-07 22:01:19,[WebSocket] 연결 / LOGIN 전송
2026-09-07 22:01:19,[WebSocket] 로그인 성공
2026-09-07 22:01:22,[WebSocket] 정상 종료
2026-09-07 22:01:22,[연구 queue 종료] remaining=0 / failures=0 / dropped_P2=0
2026-09-07 22:01:22,[LiveExit 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-07 22:01:22,[AccountCache 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-07 22:01:22,[ResearchCompute 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-07 22:01:22,[BrokerPrecheck 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-07 22:01:22,[LiveSafety 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-07 22:01:22,프로그램 정상 종료
2026-09-07 22:02:07,========================================
2026-09-07 22:02:07,스크리너 시작 v1.7.1
2026-09-07 22:02:07,AUTO_TRADE_ENABLED = True
2026-09-07 22:02:07,⚠ 실제 주문 ON
2026-09-07 22:02:07,LIVE ENTRY = FIRST_75_PASS
2026-09-07 22:02:07,시간 = MAIN 09:05:00 이상 / 09:30:00 미만
2026-09-07 22:02:07,"종목당 최대 = 1,000,000원"
2026-09-07 22:02:07,하루 최대 = 5종목 / 동일종목 하루 1회
2026-09-07 22:02:07,TP/SL = +2.50% / -1.50%
2026-09-07 22:02:07,수익보호=False / 정오회복=False / 추정비용=0.24%
2026-09-07 22:02:07,========================================
2026-09-07 22:02:07,키움 접근토큰 발급 요청
2026-09-07 22:02:07,키움 접근토큰 발급 성공 / 만료: 20260908220116
2026-09-07 22:02:07,실전상태 복구 완료 / 상태일 2026-09-07 / 포지션 0개 / 주문 0개
2026-09-07 22:02:08,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-07 22:02:09,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-07 22:02:09,[DEBUG] 응답 LIST KEY = oso
2026-09-07 22:02:09,실전상태와 broker 계좌 상태 동기화 완료
2026-09-07 22:02:10,[WebSocket] 연결 / LOGIN 전송
2026-09-07 22:02:10,[WebSocket] 로그인 성공
