datetime,message
2026-08-31 08:00:52,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:00:52,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:00:52,===== 시장 스캔 종료 / 2.6초 =====
2026-08-31 08:01:05,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:05.091 =====
2026-08-31 08:01:06,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:01:06,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:06,KOSPI KA10027 37종목
2026-08-31 08:01:07,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:01:08,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:08,KOSDAQ KA10027 37종목
2026-08-31 08:01:08,사전필터 통과 1종목
2026-08-31 08:01:08,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:08,KOSPI KA10032 100종목
2026-08-31 08:01:09,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:09,KOSDAQ KA10032 100종목
2026-08-31 08:01:09,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:01:09,거래대금 200억+ 통과 0종목
2026-08-31 08:01:09,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:01:09,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:01:09,===== 시장 스캔 종료 / 4.3초 =====
2026-08-31 08:01:20,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:20.382 =====
2026-08-31 08:01:20,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:20,KOSPI KA10027 37종목
2026-08-31 08:01:21,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:21,KOSDAQ KA10027 40종목
2026-08-31 08:01:21,사전필터 통과 1종목
2026-08-31 08:01:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:22,KOSPI KA10032 100종목
2026-08-31 08:01:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:01:22,KOSDAQ KA10032 100종목
2026-08-31 08:01:22,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-08-31 08:01:22,거래대금 200억+ 통과 0종목
2026-08-31 08:01:22,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:01:22,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:01:22,===== 시장 스캔 종료 / 2.5초 =====
2026-08-31 08:01:35,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:35.868 =====
2026-08-31 08:01:37,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:01:37,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:01:37,KOSPI KA10027 44종목
2026-08-31 08:01:38,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
