datetime,message
2026-09-09 08:00:36,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:00:36,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:36,KOSPI KA10027 119종목
2026-09-09 08:00:37,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:00:37,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:37,KOSDAQ KA10027 110종목
2026-09-09 08:00:37,사전필터 통과 0종목
2026-09-09 08:00:38,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:38,KOSPI KA10032 100종목
2026-09-09 08:00:39,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:39,KOSDAQ KA10032 100종목
2026-09-09 08:00:39,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-09 08:00:39,거래대금 200억+ 통과 0종목
2026-09-09 08:00:39,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-09 08:00:39,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-09 08:00:39,[SCAN 품질] elapsed=4.2초 / gap=15.857897281646729 / REST 연속오류스캔=0 / recovery=N/A
2026-09-09 08:00:39,===== 시장 스캔 종료 / 4.2초 =====
2026-09-09 08:00:50,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:50.038 =====
2026-09-09 08:00:51,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:51,KOSPI KA10027 134종목
2026-09-09 08:00:51,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:00:51,KOSDAQ KA10027 124종목
2026-09-09 08:00:51,사전필터 통과 0종목
2026-09-09 08:00:52,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:52,KOSPI KA10032 100종목
2026-09-09 08:00:53,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:00:53,KOSDAQ KA10032 100종목
2026-09-09 08:00:53,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-09 08:00:53,거래대금 200억+ 통과 0종목
2026-09-09 08:00:53,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-09 08:00:53,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-09 08:00:53,[SCAN 품질] elapsed=3.1초 / gap=15.238202095031738 / REST 연속오류스캔=0 / recovery=N/A
2026-09-09 08:00:53,===== 시장 스캔 종료 / 3.1초 =====
2026-09-09 08:01:05,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:05.128 =====
2026-09-09 08:01:06,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:01:06,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:01:06,KOSPI KA10027 144종목
2026-09-09 08:01:07,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:01:07,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:01:07,KOSDAQ KA10027 134종목
2026-09-09 08:01:07,사전필터 통과 0종목
2026-09-09 08:01:08,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:01:08,KOSPI KA10032 100종목
2026-09-09 08:01:09,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:01:09,KOSDAQ KA10032 100종목
2026-09-09 08:01:09,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-09 08:01:09,거래대금 200억+ 통과 0종목
2026-09-09 08:01:09,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-09 08:01:09,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-09 08:01:09,[SCAN 품질] elapsed=4.2초 / gap=15.089720249176025 / REST 연속오류스캔=0 / recovery=N/A
2026-09-09 08:01:09,===== 시장 스캔 종료 / 4.2초 =====
2026-09-09 08:01:20,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:20.310 =====
2026-09-09 08:01:21,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:01:21,KOSPI KA10027 147종목
2026-09-09 08:01:21,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:01:21,KOSDAQ KA10027 144종목
2026-09-09 08:01:21,사전필터 통과 0종목
2026-09-09 08:01:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:01:22,KOSPI KA10032 100종목
2026-09-09 08:01:23,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:01:23,KOSDAQ KA10032 100종목
2026-09-09 08:01:23,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-09 08:01:23,거래대금 200억+ 통과 0종목
2026-09-09 08:01:23,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-09 08:01:23,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-09 08:01:23,[SCAN 품질] elapsed=2.8초 / gap=15.182077407836914 / REST 연속오류스캔=0 / recovery=N/A
2026-09-09 08:01:23,===== 시장 스캔 종료 / 2.8초 =====
2026-09-09 08:01:36,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:36.092 =====
2026-09-09 08:01:37,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:01:37,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:01:37,KOSPI KA10027 154종목
2026-09-09 08:01:38,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 08:01:39,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-09 08:01:39,KOSDAQ KA10027 149종목
2026-09-09 08:01:39,사전필터 통과 1종목
2026-09-09 08:01:39,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:01:39,KOSPI KA10032 100종목
2026-09-09 08:01:40,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-09 08:01:40,KOSDAQ KA10032 100종목
2026-09-09 08:01:40,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-09-09 08:01:40,거래대금 200억+ 통과 0종목
2026-09-09 08:01:40,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
