datetime,version,event,request_id,stock_code,call,start,end,duration_ms,success,error,retry,file,ws_receive_to_live_check_ms,live_check_duration_ms,live_trigger_to_worker_submit_ms,paper_update_duration_ms,research_queue_size,research_queue_oldest_age_ms,research_batch_rows,research_write_duration_ms,research_write_fail_count,active_paper_episode_count,active_episode_count_by_mode,strategy_evaluation_count,memory_usage_mb,last_research_flush_time,degraded_path_rows,dropped_detail_rows,tick_count
2026-09-18 12:14:27.727,v2.1.2,WS_TICK_INTERVAL_AGG,,328130,,,,36.328,,,,,0.002,0.0,,7.25,1,946.198,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",4056,,,,,24
2026-09-18 12:14:27.828,v2.1.2,WS_TICK_INTERVAL_AGG,,950260,,,,4.356,,,,,0.001,0.0,,0.374,0,0.0,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",0,,,,,25
2026-09-18 12:14:27.922,v2.1.2,WS_TICK_INTERVAL_AGG,,338220,,,,0.268,,,,,0.001,0.0,,0.206,0,302.391,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",0,,,,,5
2026-09-18 12:14:28.215,v2.1.2,WS_TICK_INTERVAL_AGG,,218410,,,,1.432,,,,,0.002,0.0,,0.218,0,638.688,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",0,,,,,34
2026-09-18 12:14:28.332,v2.1.2,WS_TICK_INTERVAL_AGG,,000150,,,,3.648,,,,,0.003,0.0,,2.198,0,0.0,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",1352,,,,,4
2026-09-18 12:14:28.431,v2.1.2,WS_TICK_INTERVAL_AGG,,078350,,,,3.429,,,,,0.002,0.0,,1.051,0,81.616,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",1183,,,,,14
2026-09-18 12:14:28.544,v2.1.2,WS_TICK_INTERVAL_AGG,,272210,,,,39.953,,,,,0.002,0.0,,5.248,0,216.992,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",1183,,,,,16
2026-09-18 12:14:28.544,v2.1.2,WS_TICK_INTERVAL_AGG,,306620,,,,0.158,,,,,0.002,0.0,,0.158,1,236.122,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",0,,,,,1
2026-09-18 12:14:29.125,v2.1.2,WS_TICK_INTERVAL_AGG,,028050,,,,0.673,,,,,0.002,0.0,,0.186,0,822.077,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",338,,,,,17
2026-09-18 12:14:29.216,v2.1.2,WS_TICK_INTERVAL_AGG,,399720,,,,4.85,,,,,0.002,0.0,,4.85,0,965.696,,,,216,"{""WIDE_HIGH_GAP_SHADOW"": 180, ""PRE_HISTORY"": 3, ""CALM_FIRST_75_PROTECT"": 1, ""CALM_FIRST_75"": 1, ""SHADOW_SCORE_70_74"": 15, ""PRE_FAIL_PULLBACK_SHADOW"": 4, ""BASE"": 12}",2535,,,,,1
